Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2382.14,6258.282,0,1,
9197.797,6078.402,1,1,
9017.031,1560.016,1,0,
2233.898,6130.72,0,1,
2166.756,6307.761,0,1,
2468.449,6099.57,0,1,
7661.925,6100.69,1,1,
2182.891,1322.093,0,0,
7416.251,6104.519,1,1,
8674.246,6152.868,1,1,
9051.195,6205.528,1,1,
9612.314,6063.532,1,1,
2490.041,1292.514,0,0,
9435.459,6110.724,1,1,
10112.02,6160.261,1,1,
2158.625,1278.302,0,0,
10099.62,6018.373,1,1,
9805.898,6009.948,1,1,
2093.992,6279.621,0,1,
10103.96,5664.475,1,1,
8074.153,1299.425,1,0,
9550.514,5936.143,1,1,
2252.72,6074.182,0,1,
7567.497,5908.751,1,1,
2152.758,1271.03,0,0,
9578.431,5794.867,1,1,
2389.965,1360.363,0,0,
10078.07,1334.298,1,0,
8816.576,5938.621,1,1,
2144.292,6151.894,0,1,
10146.66,1249.648,1,0,
2269.491,6239.188,0,1,
2084.584,1271.051,0,0,
8740.16,6180.86,1,1,
8965.561,6144.072,1,1,
2249.998,1296.853,0,0,
2240.563,6207.66,0,1,
8132.902,5993.688,1,1,
9396.598,6131.842,1,1,
2277.051,6208.862,0,1,
2484.497,5963.818,0,1,
10012.08,1197.614,1,0,
8599.938,6036.368,1,1,
2176.299,1249.018,0,0,
9137.291,5994.651,1,1,
6820.328,5498.745,1,1,
2144.882,6225.331,0,1,
8610.212,1452.786,1,0,
9290.138,1344.248,1,0,
2200.341,6298.815,0,1,
1358.241,838.4124,0,0,
9252.038,1289.636,1,0,
2055.988,1479.195,0,0,
2481.215,1420.714,0,0,
2213.822,6215.755,0,1,
9967.929,5857.642,1,1,
2347.481,6060.051,0,1,
9476.259,1381.612,1,0,
9133.294,1395.695,1,0,
7824.622,6118.39,1,1,
9449.873,1315.234,1,0,
7806.801,1225.338,1,0,
9470.809,1185.464,1,0,
2199.193,1265.968,0,0,
2305.596,6271.146,0,1,
2199.567,1330.401,0,0,
9339.007,6075.352,1,1,
2219.854,5838.182,0,1,
9743.574,1172.937,1,0,
2179.512,6157.711,0,1,
2170.565,1249.49,0,0,
7010.971,1404.528,1,0,
9035.137,1344.552,1,0,
6987.352,6059.212,1,1,
9255.369,1331.159,1,0,
2271.27,1329.77,0,0,
7305.43,6129.344,1,1,
8502.228,1406.108,1,0,
10302.95,1252.469,1,0,
2034.748,1253.506,0,0,
2133.952,1292.403,0,0,
2115.826,1295.162,0,0,
9036.778,6165.66,1,1,
2270.438,1388.337,0,0,
2300.708,6273.754,0,1,
9668.652,6141.088,1,1,
2244.195,1327.19,0,0,
9981.212,5833.665,1,1,
10202.49,1432.295,1,0,
10398.52,1287.7,1,0,
8961.949,1317.499,1,0,
2098.637,1319.649,0,0,
2399.021,5953.722,0,1,
2318.951,6223.188,0,1,
2271.41,5702.507,0,1,
