Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
10474.45,6165.357,1,1,
9113.997,1406.354,1,0,
11515.35,1517.766,1,0,
2221.701,1304.519,0,0,
10045.39,6354.683,1,1,
11212.43,6250.502,1,1,
10393.38,1345.394,1,0,
2315.944,6241.728,0,1,
9014.217,1314.842,1,0,
11220.17,1394.399,1,0,
11396.48,1384.205,1,0,
2201.309,1394.779,0,0,
8999.431,6242.359,1,1,
2202.875,6367.02,0,1,
10667.59,1470.114,1,0,
9127.35,6047.887,1,1,
2370.998,1373.915,0,0,
11363.37,1392.483,1,0,
9532.006,1378.7,1,0,
9350.856,6137.009,1,1,
10268.61,5975.847,1,1,
8645.09,6047.196,1,1,
10576.5,1444.276,1,0,
8325.918,6164.563,1,1,
8569.146,6150.93,1,1,
8439.619,6124.024,1,1,
9865.308,5966.799,1,1,
10762.21,6328.068,1,1,
9877.123,1539.131,1,0,
9721.317,5992.886,1,1,
8743.303,1367.02,1,0,
10618.54,1452.168,1,0,
2221.781,6137.096,0,1,
9920.059,5952.409,1,1,
10523.19,6109.133,1,1,
10014.26,5832.381,1,1,
2194.917,6320.589,0,1,
8448.025,1422.689,1,0,
11644.36,1416.916,1,0,
9604.185,1465.053,1,0,
9182.695,5772.293,1,1,
9784.643,5934.264,1,1,
9532.713,6237.71,1,1,
2173.153,5982.336,0,1,
10552.36,6165.077,1,1,
9157.661,6130.617,1,1,
10072.74,1311.563,1,0,
2252.853,6397.177,0,1,
11068.42,1410.269,1,0,
2210.948,6312.616,0,1,
9562.033,1462.805,1,0,
2288.939,6355.072,0,1,
8553.323,6247.212,1,1,
9047.517,6007.17,1,1,
2305.527,6413.83,0,1,
10893.49,5855.337,1,1,
2259.974,6285.941,0,1,
9534.537,6243.267,1,1,
11575.83,1387.349,1,0,
8851.707,1449.423,1,0,
2212.801,6274.696,0,1,
8602.134,1470.866,1,0,
8868.523,1335.719,1,0,
9357.193,1343.224,1,0,
10520.67,5977.437,1,1,
11247.07,1412.463,1,0,
10276.8,1412.06,1,0,
9009.818,6222.09,1,1,
9118.28,1396.197,1,0,
10540.12,5997.415,1,1,
2469.607,6449.747,0,1,
10652.18,1600.635,1,0,
9181.026,6004.021,1,1,
2309.588,6290.789,0,1,
9906.711,6044.054,1,1,
8913.096,6236.03,1,1,
10194.92,1388.215,1,0,
2378.893,6526.681,0,1,
8747.245,1470.669,1,0,
10092.13,1429.984,1,0,
8716.97,6265.835,1,1,
8594.807,6407.745,1,1,
2202.248,6320.724,0,1,
2284.395,1338.225,0,0,
11135.81,6509.167,1,1,
10298.86,1438.783,1,0,
8640.563,6057.828,1,1,
9162.461,6439.405,1,1,
11270.24,1407.191,1,0,
11422.93,1268.979,1,0,
11040.45,6012.546,1,1,
2261.738,6132.881,0,1,
10324.98,6164.072,1,1,
9233.891,1265.17,1,0,
9691.774,1440.364,1,0,
