Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2313.437,1336.183,0,0,
5999.319,5903.875,1,1,
2355.253,6372.718,0,1,
2372.002,6598.559,0,1,
9138.651,1383.462,1,0,
2245.861,6260.726,0,1,
2279.683,6388.797,0,1,
1971.583,1457.815,0,0,
9144.426,1369.508,1,0,
7581.171,1313.341,1,0,
2355.881,1475.563,0,0,
7570.657,1428.994,1,0,
2167.361,1266.667,0,0,
2426.534,1370.013,0,0,
2309.6,6269.567,0,1,
9875.394,1351.817,1,0,
6749.326,1434.492,1,0,
7177.545,1384.03,1,0,
8335.341,6176.571,1,1,
9642.37,1461.68,1,0,
2425.42,6290.548,0,1,
2158.56,6253.285,0,1,
2158.912,6250.431,0,1,
2092.353,6334.162,0,1,
2206.668,6205.347,0,1,
2063.197,1283.829,0,0,
9325.875,1416.177,1,0,
9100.445,3723.471,1,1,
9674.09,1433.84,1,0,
8333.792,1366.004,1,0,
10181.26,1421.908,1,0,
9427.664,6184.331,1,1,
2283.022,1338.332,0,0,
10325.39,1443.57,1,0,
2498.873,6124.587,0,1,
8238.85,6074.742,1,1,
7424.381,1293.054,1,0,
8725.511,6393.531,1,1,
2237.667,1311.895,0,0,
2066.451,1315.24,0,0,
2136.637,6153.559,0,1,
9049.455,5927.081,1,1,
8848.247,6123.515,1,1,
9755.438,6250.184,1,1,
2135.126,6160.449,0,1,
8203.405,6312.586,1,1,
2237.262,6337.363,0,1,
9318.422,1302.975,1,0,
10070.99,1366.975,1,0,
6614.636,1322.759,1,0,
2312.54,1378.932,0,0,
2291.103,6471.962,0,1,
8372.65,6076.82,1,1,
8327.272,1323.779,1,0,
8326.307,6086.806,1,1,
9240.332,5996.192,1,1,
2343.347,6333.988,0,1,
10005.12,1357.184,1,0,
10104.1,1285.957,1,0,
2147.382,1291.515,0,0,
9784.295,1425.992,1,0,
2253.824,1362.875,0,0,
2120.658,6147.367,0,1,
6536.125,5965.799,1,1,
7504.953,1391.641,1,0,
9836.874,1443.112,1,0,
2239.223,6080.878,0,1,
2267.671,1311.372,0,0,
2354.94,6187.131,0,1,
7001.384,1390.44,1,0,
8819.314,1406.877,1,0,
9823.974,6039.757,1,1,
9632.811,6348.466,1,1,
2404.815,5943.305,0,1,
8692.971,6125.583,1,1,
2410.38,1355.854,0,0,
2306.022,1265.384,0,0,
2151.068,6306.886,0,1,
2149.292,1304.361,0,0,
8326.25,1434.247,1,0,
2298.795,1339.466,0,0,
2056.096,1352.781,0,0,
9826.872,1477.99,1,0,
2244.417,6169.347,0,1,
2257.616,1380.153,0,0,
2173.92,1204.921,0,0,
5834.056,5998.155,1,1,
10505.93,1386.688,1,0,
2040.753,1309.158,0,0,
9543.304,5957.453,1,1,
2275.329,6172.328,0,1,
2070.291,6088.207,0,1,
9915.793,1378.531,1,0,
2321.222,1292.681,0,0,
9851.157,1373.804,1,0,
