Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
9812.584,6290.411,1,1,
2250.54,6318.283,0,1,
2203.464,1458.887,0,0,
9364.801,1345.81,1,0,
2229.377,1365.793,0,0,
9597.154,1568.06,1,0,
9634.609,1373.176,1,0,
2469.123,6225.038,0,1,
8269.455,6037.139,1,1,
7037.544,6126.714,1,1,
2484.274,1378.542,0,0,
6977.273,6062.281,1,1,
2283.078,6371.954,0,1,
2248.094,1331.053,0,0,
2159.912,1377.175,0,0,
2149.473,6163.686,0,1,
2258.573,6394.177,0,1,
10003.44,6467.424,1,1,
2360.232,6429.523,0,1,
2268.979,1384.663,0,0,
2257.586,1409.357,0,0,
7908.252,6116.325,1,1,
9256.317,1362.977,1,0,
2527.651,1400.751,0,0,
2328.018,6402.723,0,1,
9463.253,1424.356,1,0,
10010.25,6139.376,1,1,
2097.489,6141.678,0,1,
2310.525,1359.989,0,0,
9779.836,6334.446,1,1,
2608.806,1315.708,0,0,
9545.185,6006.117,1,1,
2289.573,6342.973,0,1,
9177.169,1450.418,1,0,
8073.976,6075.999,1,1,
2376.254,1334.936,0,0,
10052.37,6097.978,1,1,
9724.734,6193.211,1,1,
2339.513,1365.814,0,0,
2250.919,6357.811,0,1,
2311.085,6318.787,0,1,
1991.119,1328.286,0,0,
8223.453,1516.344,1,0,
2331.301,6417.273,0,1,
2150.505,6304.848,0,1,
8762.706,1462.649,1,0,
2122.552,1351.911,0,0,
8851.208,6103.181,1,1,
9181.465,6330.638,1,1,
2230.161,1372.139,0,0,
2278.175,6268.128,0,1,
2252.176,6537.394,0,1,
2235.921,1460.575,0,0,
9423.816,1557.176,1,0,
2330.328,6383.606,0,1,
9125.047,1464.671,1,0,
8661.283,6161.849,1,1,
7758.846,1424.912,1,0,
2292.456,6190.263,0,1,
7250.384,6225.633,1,1,
9362.885,1357.971,1,0,
2163.918,6267.416,0,1,
7639.367,6029.119,1,1,
2259.318,6284.055,0,1,
9764.471,1443.525,1,0,
9731.58,1309.807,1,0,
2242.887,1305.871,0,0,
7015.634,6056.967,1,1,
8368.709,5930.888,1,1,
2297.857,6502.488,0,1,
7178.025,1458.467,1,0,
9355.881,1438.983,1,0,
2402.551,1354.445,0,0,
9137.004,1417.673,1,0,
2267.372,6305.431,0,1,
9539.154,6157.175,1,1,
2457.857,6304.972,0,1,
9889.402,6165.757,1,1,
9150.313,1332.485,1,0,
9939.635,5988.419,1,1,
8850.607,6356.173,1,1,
2146.044,6186.374,0,1,
2115.488,1292.333,0,0,
9141.72,6034.528,1,1,
2122.592,1355.764,0,0,
2244.845,6312.097,0,1,
7378.476,6179.295,1,1,
9430.479,1361.262,1,0,
2172.788,6309.313,0,1,
8759.267,6192.608,1,1,
9415.088,6045.265,1,1,
10209.83,1253.159,1,0,
2184.861,1362.182,0,0,
9063.744,6187.535,1,1,
9875.89,1434.515,1,0,
