Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2157.277,1459.072,0,0,
2418.104,1422.023,0,0,
2411.31,1297.36,0,0,
2212.862,1301.04,0,0,
2217.496,1368.862,0,0,
2303.797,1350.824,0,0,
2127.671,1272.57,0,0,
2220.488,1397.325,0,0,
2334.964,1378.507,0,0,
2264.83,1342.232,0,0,
2185.591,1268.401,0,0,
2166.744,1312.511,0,0,
2257.531,1350.325,0,0,
2399.066,1402.785,0,0,
2131.295,1358.769,0,0,
2297.344,1318.827,0,0,
2110.499,1378.826,0,0,
2352.137,1333.615,0,0,
2196.556,1375.288,0,0,
2158.245,1396.085,0,0,
2296.413,1304.729,0,0,
2350.291,1395.208,0,0,
2252.382,1302.06,0,0,
2169.517,1337.934,0,0,
2069.649,1342.82,0,0,
2482.499,1293.709,0,0,
2336.872,1396.006,0,0,
2137.322,1300.447,0,0,
2001.464,1210.5,0,0,
2192.574,1303.074,0,0,
2293.204,1348.043,0,0,
2164.859,1272.57,0,0,
2183.259,1387.64,0,0,
2309.349,1351.979,0,0,
2315.799,1308.84,0,0,
2282.245,1389.673,0,0,
2139.625,1242.353,0,0,
2451.074,1410.482,0,0,
2152.303,1326.243,0,0,
2174.351,1292.979,0,0,
2300.093,1270.848,0,0,
2307.345,1386.872,0,0,
2188.396,1254.822,0,0,
2318.007,1307.426,0,0,
2332.881,1395.803,0,0,
2463.631,1423.599,0,0,
2248.301,1395.029,0,0,
2381.053,1376.82,0,0,
2040.746,1351.187,0,0,
2299.721,1417.616,0,0,
2294.852,1416.247,0,0,
2291.256,1232.643,0,0,
2207.548,1413.076,0,0,
2197.664,1352.736,0,0,
2270.171,1367.703,0,0,
2296.163,1367.95,0,0,
2193.4,1402.05,0,0,
2349.219,1374.295,0,0,
2216.331,1249.846,0,0,
2141.447,1303.566,0,0,
2356.438,1382.408,0,0,
2238.592,1272.01,0,0,
2257.248,1338.354,0,0,
2200.447,1261.923,0,0,
2206.684,1341.732,0,0,
2061.17,1326.357,0,0,
2193.731,1360.822,0,0,
2365.734,1424.774,0,0,
2212.127,1267.377,0,0,
2319.783,1351.103,0,0,
2263.781,1375.063,0,0,
2375.813,1295.021,0,0,
2449.879,1309.008,0,0,
2188.844,1360.373,0,0,
2216.02,1327.385,0,0,
2171.707,1252.66,0,0,
2356.751,1380.44,0,0,
2330.24,1324.654,0,0,
2150.421,1298.335,0,0,
2311.694,1424.837,0,0,
2349.784,1376.731,0,0,
2293.74,1399.484,0,0,
2264.198,1439.158,0,0,
2178.486,1362.144,0,0,
2137.051,1271.078,0,0,
2423.559,1414.432,0,0,
2275.834,1334.869,0,0,
2262.182,1347.375,0,0,
2166.274,1326.799,0,0,
2337.415,1374.635,0,0,
2158.461,1297.384,0,0,
2078.775,1251.517,0,0,
2231.122,1361.601,0,0,
2249.325,1350.626,0,0,
2194.984,1388.279,0,0,
