Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
8778.313,6056.769,1,1,
8733.052,6180.408,1,1,
2502.582,1368.091,0,0,
6788.221,5816.339,1,1,
2311.923,1234.184,0,0,
6274.573,5957.872,1,1,
2368.403,1280.158,0,0,
8169.944,5455.424,1,1,
9169.028,6114.59,1,1,
7587.893,1259.514,1,0,
8877.172,5774.043,1,1,
2407.274,6183.511,0,1,
9449.109,5987.133,1,1,
5599.096,6040.439,1,1,
8272.867,1389.778,1,0,
2501.477,6216.225,0,1,
6894.964,1396.573,1,0,
7963.118,1227.598,1,0,
2070.578,5983.002,0,1,
9280.319,6013.436,1,1,
9379.201,6395.829,1,1,
9797.277,6221.144,1,1,
8638.318,5766.508,1,1,
6415.094,5673.032,1,1,
7413.404,1263.06,1,0,
7659.651,1404.282,1,0,
2518.822,1376.323,0,0,
2225.626,1342.177,0,0,
9782.109,6280.906,1,1,
2042.385,1356.667,0,0,
9311.22,1341.523,1,0,
2482.786,6086.301,0,1,
7691.818,6212.514,1,1,
8724.974,1439.743,1,0,
8937.013,6003.615,1,1,
6282.586,5509.136,1,1,
8900.363,1451.96,1,0,
2525.406,1382.582,0,0,
9972.937,1203.716,1,0,
2416.857,1341.787,0,0,
2148.27,1306.283,0,0,
6045.687,5677.826,1,1,
2359.977,6427.104,0,1,
7313.813,6103.322,1,1,
2242.314,1245.484,0,0,
9354.385,1528.033,1,0,
9938.387,1465.303,1,0,
9196.441,5879.229,1,1,
8043.229,5767.542,1,1,
2248.781,1346.284,0,0,
9100.496,1428.92,1,0,
8789.444,5774.737,1,1,
9004.916,5961.819,1,1,
5960.137,1222.701,1,0,
2188.573,6057.907,0,1,
10160.09,1444.442,1,0,
8427.279,1414.453,1,0,
9198.238,1270.692,1,0,
7849.258,6171.442,1,1,
7937.53,6020.564,1,1,
8419.384,5994.262,1,1,
2307.835,1362.521,0,0,
8604.256,5811.332,1,1,
2221.25,1290.207,0,0,
8560.049,1301.051,1,0,
2107.832,1331.722,0,0,
9255.619,1453.694,1,0,
9091.42,1383.156,1,0,
7480.991,1366.869,1,0,
10119.58,5960.964,1,1,
9311.018,6056.606,1,1,
2147.382,1316.186,0,0,
2345.535,6123.816,0,1,
2248.145,1278.164,0,0,
9564.146,5994.052,1,1,
2515.497,6149.544,0,1,
9560.489,5962.758,1,1,
2268.896,1438.635,0,0,
2265.286,1364.085,0,0,
2248.453,6232.939,0,1,
8001.979,5942.954,1,1,
2489.825,6016.792,0,1,
2080.024,1447.161,0,0,
9758.746,5924.573,1,1,
10162.86,5393.961,1,1,
2262.646,6381.785,0,1,
9992.511,1371.375,1,0,
2555.765,1379.656,0,0,
7254.837,1486.245,1,0,
9251.58,1249.245,1,0,
2030.475,1258.433,0,0,
9317.156,1448.883,1,0,
9240.993,1350.83,1,0,
7442.129,1328.823,1,0,
8429.807,5557.335,1,1,
