Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
8299.001,1297.069,1,0,
9859.626,6225.412,1,1,
2129.14,1270.286,0,0,
5941.772,6304.39,1,1,
6943.884,5974.454,1,1,
10322.43,1405.754,1,0,
9461.311,5968.174,1,1,
2518.513,6133.503,0,1,
2438.373,1378.179,0,0,
2323.64,6292.819,0,1,
9210.426,1396.174,1,0,
9167.711,1442.83,1,0,
2409.012,6353.317,0,1,
2452.546,6268.252,0,1,
8375.505,6363.009,1,1,
9285.383,1505.907,1,0,
9111.528,6215.948,1,1,
10199.77,5810.379,1,1,
9288.839,1398.508,1,0,
7916.778,6112.2,1,1,
2435.458,5926.886,0,1,
7305.072,6042.141,1,1,
7102.118,6463.477,1,1,
9028.214,6296.08,1,1,
6095.441,6100.919,1,1,
2307.543,5836.289,0,1,
8309.94,5672.39,1,1,
10365.12,1558.241,1,0,
8891.388,5968.623,1,1,
8334.654,5809.587,1,1,
6922.569,6076.276,1,1,
2517.005,6327.188,0,1,
9627.912,1437.429,1,0,
8395.337,5881.344,1,1,
7862.924,1348.645,1,0,
5648.077,6156.786,1,1,
6798.686,6180.794,1,1,
7444.965,5711.456,1,1,
2280.688,6315.622,0,1,
2379.077,1316.749,0,0,
2229.733,6304.985,0,1,
8146.422,6443.845,1,1,
2272.96,6104.877,0,1,
8962.551,6118.36,1,1,
9768.543,5867.741,1,1,
9453.299,6068.348,1,1,
2352.374,1374.121,0,0,
2302.347,1283.726,0,0,
10109.64,6093.68,1,1,
2222.083,1309.303,0,0,
2353.269,1290.114,0,0,
7402.981,5637.166,1,1,
2310.011,6131.809,0,1,
2070.745,1364.679,0,0,
2485.543,6321.345,0,1,
2473.998,6059.31,0,1,
8635.673,1410.052,1,0,
2299.286,6280.858,0,1,
9675.846,1434.636,1,0,
2213.664,5748.277,0,1,
2466.153,5913.618,0,1,
9008.525,5895.638,1,1,
2275.369,1324.441,0,0,
8681.555,6074.828,1,1,
6953.472,5614.266,1,1,
8886.844,6044.889,1,1,
8090.877,1285.824,1,0,
8566.527,1315.173,1,0,
2503.376,6326.788,0,1,
2404.129,1302.691,0,0,
9719.486,1519.524,1,0,
9776.394,6046.923,1,1,
6971.972,5485.974,1,1,
8780.468,1439.283,1,0,
6695.295,5789.332,1,1,
9643.703,1345.77,1,0,
8981.31,6235.219,1,1,
2424.354,5970.879,0,1,
9018.925,1414.051,1,0,
8128.072,5790.489,1,1,
6344.93,5934.294,1,1,
7861.781,1359.677,1,0,
6741.233,5802.744,1,1,
7148.221,5950.87,1,1,
7722.028,1228.251,1,0,
9321.047,6155.933,1,1,
7389.286,6158.642,1,1,
2336.19,1264.164,0,0,
7461.183,1289.667,1,0,
2374.02,1323.115,0,0,
2110.286,1185.655,0,0,
9158.066,1415.77,1,0,
6676.9,5607.541,1,1,
8246.426,6251.724,1,1,
2281.455,5875.27,0,1,
