Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2010.526,1159.342,0,0,
2162.23,1410.557,0,0,
2166.435,1418.869,0,0,
2246.162,1382.067,0,0,
2283.362,1287.852,0,0,
2243.489,1347.53,0,0,
2221.147,1357.959,0,0,
2236.225,1321.469,0,0,
2450.11,1398.349,0,0,
2105.981,1226.237,0,0,
2172.873,1339.803,0,0,
2244.421,1381.396,0,0,
2312.462,1311.304,0,0,
2237.803,1423.759,0,0,
2280.749,1356.015,0,0,
2193.318,1366.155,0,0,
2262.656,1342.395,0,0,
2223.17,1422.741,0,0,
2318.968,1372.294,0,0,
2392.56,1412.17,0,0,
2332.565,1326.808,0,0,
2529.622,1381.518,0,0,
2449.562,1428.411,0,0,
2217.178,1261.796,0,0,
2165.231,1257.507,0,0,
2398.498,1375.432,0,0,
2276.337,1422.798,0,0,
2248.282,1353.619,0,0,
2216.232,1317.101,0,0,
2202.063,1362.507,0,0,
2290.991,1400.654,0,0,
2441.649,1335.359,0,0,
2198.935,1366.867,0,0,
2267.148,1318.283,0,0,
2392.495,1385.189,0,0,
2283.181,1364.711,0,0,
2280.218,1291.357,0,0,
2249.488,1312.475,0,0,
2411.623,1372.497,0,0,
2477.326,1372.474,0,0,
2390.875,1367.292,0,0,
2400.77,1423.022,0,0,
2428.03,1365.393,0,0,
2334.755,1347.823,0,0,
2378.522,1421.805,0,0,
2443.235,1369.021,0,0,
2454.086,1383.937,0,0,
2312.123,1471.294,0,0,
2197.244,1299.519,0,0,
2428.281,1303.666,0,0,
2308.759,1291.892,0,0,
2207.771,1336.673,0,0,
2308.318,1415.714,0,0,
2225.421,1407.516,0,0,
2271.397,1306.397,0,0,
2286.026,1495.725,0,0,
2176.837,1311.25,0,0,
2348.286,1372.336,0,0,
2216.998,1330.096,0,0,
2143.091,1412.94,0,0,
2310.386,1386.057,0,0,
2364.34,1372.256,0,0,
2122.271,1291.111,0,0,
2299.151,1400.238,0,0,
2156.033,1304.898,0,0,
2229.237,1337.163,0,0,
2256.886,1394.221,0,0,
2187.524,1320.823,0,0,
2483.683,1386.091,0,0,
2434.903,1337.87,0,0,
2416.203,1440.582,0,0,
2403.399,1367.601,0,0,
2360.748,1446.021,0,0,
2351.393,1344.557,0,0,
2513.052,1410.155,0,0,
2234.652,1409.451,0,0,
2409.332,1396.117,0,0,
2385.085,1295.045,0,0,
2441.038,1389.523,0,0,
2120.396,1411.944,0,0,
2264.963,1415.108,0,0,
2189.074,1247.292,0,0,
2236.033,1269.901,0,0,
2215.247,1275.437,0,0,
2398.37,1416.945,0,0,
2223.295,1383.726,0,0,
2196.067,1385.488,0,0,
2267.401,1445.735,0,0,
2401.818,1349.238,0,0,
2284.38,1291.837,0,0,
2231.49,1312.405,0,0,
2245.695,1326.918,0,0,
2451.639,1473.829,0,0,
2352.086,1354.492,0,0,
2524.458,1337.924,0,0,
