Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
2378.099,6411.827,0,1,
11237.78,6005.059,1,1,
10129.04,6299.646,1,1,
11147.62,1550.385,1,0,
9513.904,1558.631,1,0,
11378.74,6389.611,1,1,
9972.794,6048.271,1,1,
10145.08,6107.328,1,1,
10935.15,6411.275,1,1,
2199.089,6395.704,0,1,
11477.35,1382.538,1,0,
2262.058,1399.054,0,0,
2217.182,1370.918,0,0,
9947.983,5818.236,1,1,
10707.24,6296.245,1,1,
2306.12,6214.428,0,1,
10511.2,1408.838,1,0,
2217.627,1411.497,0,0,
2429.856,6520.417,0,1,
9887.729,1447.427,1,0,
9640.835,6225.61,1,1,
10302.35,1477.35,1,0,
9572.202,5934.48,1,1,
9040.281,1470.166,1,0,
11268.65,6363.613,1,1,
2244.635,1231.959,0,0,
10194.51,1423.355,1,0,
2394.404,1390.34,0,0,
11567.06,6111.548,1,1,
9102.62,1431.967,1,0,
2381.714,1383.93,0,0,
8281.28,6233.583,1,1,
9615.215,6155.71,1,1,
10762.25,1469.559,1,0,
2323.388,1446.797,0,0,
8748.858,1390.012,1,0,
9467.699,1387.119,1,0,
11326.53,1482.166,1,0,
8760.111,1461.909,1,0,
2187.653,6294.346,0,1,
9278.44,6381.455,1,1,
2245.112,1333.124,0,0,
10720.26,6304.899,1,1,
9125.115,6176.385,1,1,
2301.418,6323.036,0,1,
8524.256,1320.903,1,0,
2407.324,1435.61,0,0,
9704.077,6065.373,1,1,
9117.043,6133.366,1,1,
8794.213,6165.504,1,1,
11518.54,1443.978,1,0,
8611.26,6228.521,1,1,
11528.16,6062.934,1,1,
11222.03,5967.33,1,1,
10005.04,5798.363,1,1,
9560.892,6272.617,1,1,
2474.685,6326.007,0,1,
10046.08,5879.806,1,1,
10677.93,6190.205,1,1,
9541.01,6323.783,1,1,
9988.703,1405.456,1,0,
10097.43,1316.126,1,0,
11612.57,1391.012,1,0,
9446.572,5966.66,1,1,
2286.551,6424.512,0,1,
10167.67,1422.475,1,0,
9435.824,1301.466,1,0,
2222.691,1370.511,0,0,
2306.413,6329.532,0,1,
10400.6,1311.195,1,0,
10302.45,1507.942,1,0,
9472.006,6227.36,1,1,
8359.866,1220.55,1,0,
8848.818,6234.488,1,1,
2304.853,6442.099,0,1,
2343.197,6365.247,0,1,
9385.236,5990.361,1,1,
11199.92,6228.104,1,1,
8879.432,1480.915,1,0,
10044.05,5995.31,1,1,
11900.86,1455.322,1,0,
8693.094,1379.048,1,0,
10685.43,1295.45,1,0,
11621.28,1334.987,1,0,
2249.407,1361.042,0,0,
9058.252,1248.582,1,0,
2219.325,1357.078,0,0,
11242.4,6543.943,1,1,
9072.852,5995.917,1,1,
11200.48,1443.058,1,0,
10250.63,5982.385,1,1,
10942.14,6239.904,1,1,
9485.646,6102.259,1,1,
11379.62,1433.905,1,0,
2273.45,1432.288,0,0,
