Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,2,
9638.149,1405.303,1,0,
9119.604,1516.863,1,0,
8878.629,6402.074,1,1,
10431.36,6361.396,1,1,
2292.015,1335.095,0,0,
9559.161,1363.79,1,0,
9334.605,6355.219,1,1,
9536.96,1523.301,1,0,
9995.359,1415.733,1,0,
2322.527,6642.72,0,1,
2350.645,6309.926,0,1,
9255.907,6296.042,1,1,
9787.657,5843.133,1,1,
9084.506,6084.803,1,1,
2462.456,6283.858,0,1,
11061.45,1437.015,1,0,
9987.41,6014.365,1,1,
9612.889,6243.63,1,1,
2451.521,6321.976,0,1,
11176.87,1382.06,1,0,
10486.94,6168.436,1,1,
9408.727,1376.774,1,0,
11590.05,1313.235,1,0,
10187.9,1461.641,1,0,
9885.802,6167.27,1,1,
2453.287,6215.41,0,1,
8799.636,6019.392,1,1,
10200.76,1290.971,1,0,
2405.098,1248.453,0,0,
11114.47,1472.835,1,0,
2402.097,6246.135,0,1,
11573.68,1379.72,1,0,
10418.82,6159.532,1,1,
2475.78,6288.503,0,1,
9462.057,6250.781,1,1,
11584.9,6140.054,1,1,
9592.177,6020.292,1,1,
9876.78,5914.929,1,1,
9446.963,5861.08,1,1,
8593.916,6038.574,1,1,
10806.23,1414.36,1,0,
10604.76,1497.274,1,0,
2211.901,1385.891,0,0,
10147.79,1414.936,1,0,
10186.72,6471.749,1,1,
10423.67,6036.215,1,1,
10240.28,5977.514,1,1,
9210.756,1300.149,1,0,
10980.86,1364.555,1,0,
2113.474,1334.447,0,0,
9299.539,1352.194,1,0,
2490.238,6402.407,0,1,
8255.708,6220.294,1,1,
11103.2,6307.497,1,1,
11046.16,6425.189,1,1,
9998.414,1319.142,1,0,
8655.326,1423.559,1,0,
11201.08,1432.418,1,0,
2237.293,1365.515,0,0,
9557.312,6184.704,1,1,
10614.14,1329.703,1,0,
2429.699,6221.352,0,1,
2458.213,6393.835,0,1,
2125.582,1300.751,0,0,
2255.197,6286.59,0,1,
9335.356,6159.148,1,1,
2193.672,1337.574,0,0,
10874.23,1383.382,1,0,
9844.647,1465.062,1,0,
9530.166,5667.951,1,1,
8856.615,1417.119,1,0,
9818.968,6315.927,1,1,
10941.55,6296.104,1,1,
10205.15,1442.193,1,0,
10357.59,1504.382,1,0,
10006.13,5613.192,1,1,
8921.541,6121.051,1,1,
9352.228,6167.804,1,1,
10593.93,6136.813,1,1,
9004.278,1484.36,1,0,
2198.839,1460.622,0,0,
9668.867,6234.362,1,1,
2306.203,6244.515,0,1,
2238.075,6246.91,0,1,
2458.064,6363.252,0,1,
9714.389,1377.337,1,0,
10293.76,1424.778,1,0,
9165.523,1543.576,1,0,
9798.939,1367.807,1,0,
9052.63,1427.038,1,0,
2469.201,6170.73,0,1,
9666.57,1370.061,1,0,
8936.744,6242.974,1,1,
10520.81,5977.359,1,1,
8397.002,1319.041,1,0,
