Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
A01,SMN2 Control 2 copies,,,,1,898.375854492188,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,17967.517578125,,,915.750244140625,881.25439453125,20486,10940,9546,13.280726377593,1.97360336780548,,,2.02708913553898,1.92011764189394,2,,,,,,,2,0.986801694358231,,,1.01354456776949,0.960058820946972,49.667850453338,,,50.3453344255256,48.9903664811503,9014.59728104558,2164.14522275159,5822.44579473911,,,,,907.208251953125,889.609252929688,,,2.00089064689391,1.94631613053901,,,1.00044532344696,0.973158065269507,,,50.0134879578775,49.3222129487985,No,5944,4996,5093,4453
A01,SMN2 Control 2 copies,,,,2,910.391479492188,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18207.830078125,,,927.933349609375,893.107421875,20486,11037,9449,13.280726377593,,,,,,,,,,,,,,,,,,,,,,,,5996.58216361726,1301.02763151762,3830.79602802176,,,,,919.308776855469,901.541320800781,,,,,,,,,,,,,No,5944,4996,5093,4453
A02,SMN2 Control 4 copies,,,,1,1791.92456054688,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,35838.4921875,,,1823.51672363281,1761.15856933594,19626,15347,4279,16.219579324103,3.97997879981995,,,4.08429664999751,3.87566075882741,2,,,,,,,2,1.98998935220623,,,2.04214832499875,1.93783037941371,66.5550648445578,,,67.1384961740149,65.9716335151006,10059.641389063,2207.94314510295,8347.75833668831,,,,,1807.93701171875,1776.12707519531,,,4.03319646609073,3.92676094273419,,,2.01659823304536,1.96338047136709,,,66.8527021232883,66.2574275658273,No,8236,7111,2261,2018
A02,SMN2 Control 4 copies,,,,2,900.469421386719,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18009.388671875,,,918.253051757813,882.950622558594,19626,10497,9129,16.219579324103,,,,,,,,,,,,,,,,,,,,,,,,6053.6638240111,1347.8952310984,3864.78369129429,,,,,909.509155273438,891.498718261719,,,,,,,,,,,,,No,8236,7111,2261,2018
B01,SMN2 Control 2 copies,,,,1,926.413818359375,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18528.27734375,,,944.54248046875,908.560180664063,19679,10725,8954,20.5827893065624,2,,,2.05492864568804,1.94507135431196,2,,,,,,,2,1,,,1.02746432284402,0.972535677155981,50,,,50.6866080711005,49.3133919288995,8946.77994386473,2163.6320668677,5860.42870189962,,,,,935.628173828125,917.270935058594,,,2.02802317444009,1.97197682555991,,,1.01401158722004,0.985988412779956,,,50.3502896805011,49.6497103194989,No,5917,4808,4808,4146
B01,SMN2 Control 2 copies,,,,2,926.413818359375,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18528.27734375,,,944.54248046875,908.560180664063,19679,10725,8954,20.5827893065624,,,,,,,,,,,,,,,,,,,,,,,,5964.4801033927,1293.77940030212,3839.29822954377,,,,,935.628173828125,917.270935058594,,,,,,,,,,,,,No,5917,4808,4808,4146
B02,SMN2 Control 4 copies,,,,1,1816.60461425781,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,36332.09375,,,1848.15893554688,1785.87475585938,20206,15892,4314,0,4.04502630233765,,,4.14954443972924,3.94050790746844,2,,,,,,,2,2.02251308679942,,,2.07477221986462,1.97025395373422,66.9149488759066,,,67.4869881159398,66.3429096358735,9890.79118823789,2197.660100959,8248.30046713915,,,,,1832.59802246094,1800.82580566406,,,4.09834610138835,3.99170624580933,,,2.04917305069418,1.99585312290466,,,67.206774334753,66.6231234170602,No,8440,7452,2349,1965
B02,SMN2 Control 4 copies,,,,2,898.191772460938,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,17963.8359375,,,915.684448242188,880.955383300781,20206,10789,9417,0,,,,,,,,,,,,,,,,,,,,,,,,5982.94297550239,1333.0380766432,3815.8562471763,,,,,907.084045410156,889.366149902344,,,,,,,,,,,,,No,8440,7452,2349,1965
C01,SMN2 Control 2 copies,,,,1,909.477111816406,,OK,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18189.54296875,,,927.876770019531,891.360778808594,18607,10018,8589,2.57506137612816,2.00301504135132,,,2.05989406071099,1.94613587091358,2,,,,,,,2,1.00150748290614,,,1.0299470303555,0.973067935456789,50.0376586877396,,,50.7475767812596,49.3277405942195,8993.12541141765,2186.00993307551,5850.95768725574,,,,,918.828735351563,900.199157714844,,,2.03203321639213,1.97399671523244,,,1.01601660819606,0.986998357616221,,,50.399840631134,49.6754767443451,No,5397,4621,4611,3978
C01,SMN2 Control 2 copies,,,,2,908.108154296875,,OK,,DQ,PosCtrl,Reference,ddPCR Supermix for Probes (No dUTP),HEX,18162.1640625,,,926.48779296875,890.011291503906,18607,10008,8599,2.57506137612816,,,,,,,,,,,,,,,,,,,,,,,,6003.05771554631,1302.91926034732,3830.94557623013,,,,,917.449584960938,898.840270996094,,,,,,,,,,,,,No,5397,4621,4611,3978
