HEX,FAM
5400,8138
5204,8140
3188,8145
4967,8151
5396,8157
5440,8158
5285,8162
5219,8164
4947,8166
5684,8170
6135,8170
6359,8178
5399,8183
5443,8186
5390,8194
5907,8201
5228,8203
6046,8206
6285,8207
5668,8211
5733,8216
5407,8219
3301,8226
3086,8233
6550,8234
6358,8244
6009,8254
5131,8255
5360,8256
5523,8257
5437,8265
4899,8272
3162,8274
5604,8275
3142,8278
4908,8279
3328,8280
5822,8281
5097,8282
5181,8283
4888,8294
5529,8299
6239,8302
5576,8302
5643,8306
5359,8306
5030,8306
5396,8307
5926,8309
5502,8314
5230,8319
2952,8323
3128,8328
5472,8334
3095,8336
6263,8337
3245,8337
5441,8341
4789,8346
6571,8347
5546,8353
6675,8354
6223,8362
5831,8363
5505,8365
5593,8370
6437,8373
6464,8378
3192,8383
5965,8385
5491,8388
6157,8389
5997,8393
6175,8394
6336,8396
6283,8397
6111,8398
3160,8398
5415,8399
6238,8400
5815,8401
5798,8404
6563,8404
3391,8404
5506,8405
6230,8411
5703,8412
5859,8414
5378,8415
5298,8416
5514,8416
6701,8416
5847,8417
5407,8418
5738,8418
5879,8419
3155,8419
6219,8422
5418,8423
5727,8425
5533,8427
3044,8431
5459,8434
5876,8435
6208,8437
6265,8438
5764,8440
2985,8440
5570,8442
6182,8445
5860,8446
5955,8447
5820,8448
6461,8451
6048,8453
6152,8455
6014,8457
5621,8458
3239,8459
6154,8459
6254,8459
6214,8463
5154,8464
6468,8466
5280,8468
6266,8469
5795,8471
5229,8471
5951,8471
5285,8474
5978,8475
6354,8475
6046,8475
3146,8477
5770,8477
5782,8477
6176,8478
5596,8480
6508,8483
5355,8483
3306,8483
5807,8483
5327,8485
6048,8485
6143,8486
5682,8486
6394,8488
6331,8488
5860,8488
5865,8490
2946,8492
6331,8492
5512,8493
6159,8493
6419,8493
5652,8494
6060,8494
6356,8495
6553,8495
6091,8497
6259,8497
6541,8499
6288,8500
6276,8501
6341,8503
6452,8503
6601,8504
6074,8505
6148,8505
6365,8505
6042,8506
5742,8506
6503,8506
6135,8506
6229,8507
6697,8509
6297,8509
6837,8510
5809,8513
3284,8513
5637,8513
3050,8514
5658,8514
6478,8514
5586,8515
5528,8515
6287,8515
5633,8517
5956,8517
6387,8517
6124,8519
5885,8520
3303,8522
5629,8524
5812,8527
6526,8527
5673,8527
6383,8529
6202,8529
3490,8530
6359,8531
6029,8532
6379,8532
6048,8533
6051,8533
6372,8533
5330,8535
6146,8537
