"Channel_2","Channel_1"
3293,8985
6306,9008
5438,9011
6056,9013
3354,9017
7063,9017
5350,9024
6013,9050
6303,9053
6803,9074
6428,9079
3611,9089
6062,9090
6847,9092
6419,9106
3275,9107
6313,9133
7251,9142
6109,9151
5830,9160
6386,9164
6335,9165
6907,9166
6633,9169
6007,9184
5672,9189
6128,9213
5722,9214
5908,9220
5681,9229
6790,9230
7240,9254
6946,9257
6605,9258
7122,9261
7407,9262
7509,9264
6590,9267
6176,9274
6859,9276
7178,9281
3551,9282
6687,9288
6411,9299
7025,9300
7111,9304
7411,9305
3110,9306
6295,9307
6850,9308
6927,9313
7266,9313
6541,9316
3605,9318
3529,9332
7190,9338
7142,9338
7095,9340
7312,9340
3676,9350
7048,9353
6463,9355
7286,9361
6884,9364
3737,9364
6382,9367
6500,9368
6402,9369
6767,9370
7162,9372
6787,9375
3460,9382
6918,9383
7236,9383
7360,9386
7097,9387
7213,9391
6631,9392
6526,9398
6303,9400
6561,9401
7289,9405
7283,9405
7135,9405
6787,9408
6847,9410
3679,9411
6913,9412
6866,9412
6724,9413
3665,9413
6924,9415
3555,9415
3496,9417
3491,9418
6850,9423
6314,9426
6016,9429
7298,9431
7086,9432
6650,9436
7279,9442
6469,9443
6385,9447
7009,9447
6298,9448
6493,9451
3404,9451
6780,9453
7028,9453
6934,9456
7297,9456
6917,9457
6342,9458
6169,9459
6383,9460
3256,9463
6385,9463
7086,9465
7112,9466
7063,9467
6633,9467
6563,9467
6954,9468
6569,9469
7060,9469
6299,9470
6980,9470
6286,9473
7047,9474
6588,9474
6817,9475
6905,9476
6593,9477
6043,9478
7043,9482
7047,9482
6934,9484
3659,9487
7048,9491
7186,9492
6955,9494
6096,9495
6973,9498
6191,9498
6582,9498
7260,9499
7637,9500
6899,9501
3360,9504
6946,9506
7025,9508
7048,9508
6122,9511
6498,9514
6975,9516
6485,9518
6956,9519
7144,9522
3644,9523
6811,9524
3298,9526
5454,9526
6939,9530
3549,9531
7340,9533
7142,9533
7359,9533
6868,9534
7056,9535
7111,9535
6975,9535
6624,9537
6842,9537
7499,9539
3391,9539
6312,9541
6904,9543
3462,9544
7254,9545
6858,9545
6659,9546
6717,9547
6420,9548
6910,9549
6789,9551
6939,9553
7126,9555
6823,9555
6730,9555
6381,9555
7104,9557
7445,9557
6270,9559
7663,9559
7163,9559
7320,9560
7078,9561
6797,9562
3598,9562
7019,9562
7036,9562
3483,9564
7223,9564
6727,9564
7502,9568
4210,9569
6950,9570
6995,9571
3409,9571
7211,9571
7374,9572
6702,9572
6713,9574
6119,9575
3486,9575
3388,9576
6509,9576
3387,9576
3357,9576
7071,9579
6698,9579
6925,9580
6655,9580
6733,9582
6624,9583
3728,9583
7370,9586
3730,9587
6964,9588
6893,9588
3475,9588
3711,9591
6759,9593
7221,9594
6885,9594
6695,9594
3390,9596
3525,9597
7165,9597
6824,9598
6872,9599
6703,9603
6958,9603
7045,9605
7533,9605
3341,9607
7291,9607
3429,9607
7048,9611
6945,9612
7016,9612
7340,9613
6832,9614
3440,9614
6802,9616
6850,9616
7171,9617
7563,9618
6880,9618
7182,9618
3507,9619
7153,9620
3603,9622
6884,9623
7110,9625
6742,9626
7688,9628
7182,9629
6926,9631
7036,9632
6527,9632
6810,9633
6398,9633
7217,9633
3573,9634
7008,9634
6732,9634
6900,9635
3420,9635
7031,9636
3596,9636
7019,9637
6749,9637
6737,9638
7583,9638
6655,9639
6614,9639
6582,9639
6997,9639
7127,9639
3760,9640
4923,9640
6716,9643
6549,9643
6899,9643
6995,9643
3593,9643
6745,9645
6820,9645
6593,9646
3485,9649
6687,9649
6726,9650
3251,9650
7352,9653
7053,9653
7026,9654
6796,9654
3920,9654
6822,9655
3587,9655
7014,9655
7263,9656
7138,9657
6947,9658
6320,9658
6770,9658
7113,9660
3699,9665
3586,9665
7292,9667
7245,9667
3359,9667
3658,9669
6977,9669
6363,9670
7053,9671
6810,9673
6845,9674
6407,9676
7155,9676
6580,9677
3429,9679
7058,9681
6859,9681
6131,9681
7665,9681
3529,9683
7161,9683
7341,9685
6637,9686
7069,9687
7119,9690
5861,9690
3349,9691
7047,9691
6918,9691
3730,9696
6823,9698
6451,9698
6790,9699
6918,9702
7154,9702
7751,9704
6855,9705
3454,9706
6691,9706
6924,9706
6540,9707
7101,9709
3541,9709
7660,9709
3808,9710
3536,9712
6967,9712
3592,9713
6783,9714
6558,9717
6723,9718
3504,9719
7342,9723
6318,9725
6919,9725
6752,9726
3487,9726
6517,9728
3835,9728
6672,9729
3605,9729
3240,9730
6990,9731
6722,9732
3249,9732
3738,9733
7177,9733
6879,9736
3517,9737
7519,9737
6960,9738
6663,9738
3548,9738
6748,9739
3565,9740
4396,9740
7123,9740
7086,9741
3620,9741
7106,9741
6847,9742
7330,9744
3624,9744
3502,9745
7076,9746
6706,9748
7590,9748
7260,9748
6866,9749
6720,9749
6969,9753
7233,9754
6834,9754
3465,9757
4157,9760
3237,9762
3517,9764
6662,9765
6511,9766
7022,9767
6725,9767
7097,9767
6897,9769
6759,9771
7335,9773
7237,9774
7053,9775
6825,9776
6766,9777
5183,9778
6929,9778
6827,9779
6516,9780
6787,9781
3403,9781
3499,9782
3277,9783
3523,9785
6795,9786
3445,9787
7593,9787
6646,9789
6960,9790
6700,9791
3623,9792
6686,9794
3587,9795
6720,9796
6988,9796
3514,9796
6844,9798
6775,9799
6621,9800
3643,9802
3572,9802
6893,9805
7234,9807
3571,9811
7010,9811
4064,9811
3525,9812
6718,9812
7135,9814
7250,9814
6425,9815
6623,9815
3466,9815
3632,9816
6866,9816
3596,9817
3715,9817
6998,9818
6620,9819
6827,9819
6645,9820
3255,9822
7051,9823
6791,9828
3515,9828
6759,9829
6693,9830
6418,9830
7080,9832
3307,9833
6874,9833
6970,9833
6823,9835
7265,9835
6726,9836
7119,9837
7558,9838
7089,9839
3538,9840
4971,9841
6744,9841
7263,9842
7307,9842
3616,9843
6920,9844
6858,9844
6969,9844
6982,9845
6977,9845
6599,9846
6727,9847
3552,9847
7424,9847
3668,9849
6590,9849
6998,9852
6986,9852
3443,9853
7095,9853
7258,9853
3474,9855
6752,9856
7154,9858
6703,9858
7356,9859
6725,9866
7335,9866
7223,9866
7237,9867
7615,9867
3491,9872
3448,9875
6401,9876
6715,9877
6861,9878
7024,9879
3263,9880
3351,9880
6718,9884
7101,9885
6859,9885
3461,9886
3439,9887
3673,9888
6536,9888
6590,9890
3364,9890
7041,9891
6676,9892
6790,9893
7021,9894
3494,9895
6957,9898
3538,9902
3706,9902
7062,9904
6610,9907
6709,9907
7156,9908
7247,9910
3805,9912
7142,9917
3232,9919
7399,9923
6836,9923
3457,9924
6699,9924
6943,9926
7180,9930
6633,9934
6967,9936
7158,9939
3716,9940
6916,9950
6766,9953
3448,9955
3728,9959
7123,9962
7076,9964
7126,9967
6988,9968
6495,9970
6978,9971
6768,9971
7084,9972
3434,9972
7412,9979
7262,9983
7191,9984
3500,9988
6740,9989
7352,9991
7061,9993
3561,9997
6784,10000
7859,10000
6989,10002
3608,10006
3644,10022
7520,10025
3693,10025
6960,10026
3579,10026
6677,10037
3646,10037
3412,10040
7097,10041
3594,10043
3607,10043
7326,10047
6923,10053
7189,10059
6750,10066
3730,10067
7234,10067
7743,10087
3380,10091
6986,10114
3368,10139
7675,10139
7236,10144
7161,10149
6863,10156
3543,10159
6977,10204
3597,10285
