"Channel_2","Channel_1"
4537,6164
2971,6177
4573,6184
4066,6197
4245,6209
5340,6210
4765,6217
5267,6226
5508,6237
2718,6247
2881,6254
5288,6258
5136,6259
5492,6261
5467,6281
4937,6283
2980,6284
5355,6285
4898,6287
5084,6292
5470,6292
4494,6292
5749,6297
3082,6300
4886,6303
5096,6309
2910,6310
4917,6311
5231,6312
5816,6313
5701,6314
2816,6317
4575,6318
5606,6319
4703,6320
5621,6322
3049,6323
5123,6325
4709,6327
5493,6328
5074,6328
5448,6331
3194,6332
5566,6333
5860,6335
5483,6338
5459,6340
5475,6342
5441,6342
5324,6345
4788,6347
3177,6347
2901,6348
5569,6349
2627,6354
5707,6355
4622,6356
5816,6358
4276,6365
5625,6367
5624,6368
2856,6372
4203,6378
4964,6378
4844,6380
5116,6380
5678,6391
5471,6392
5659,6393
5672,6394
4704,6396
4982,6396
5415,6398
4966,6398
4998,6406
5296,6407
5949,6409
5215,6410
5617,6411
2990,6414
2928,6415
5263,6419
5673,6420
5359,6421
5466,6423
5653,6425
3121,6427
5834,6427
2900,6428
5593,6428
5561,6428
3201,6428
5670,6429
5413,6429
5606,6432
5397,6432
5257,6434
3047,6434
5349,6434
5516,6436
5335,6436
4798,6437
5059,6438
2910,6439
4781,6439
5526,6441
5478,6441
5683,6442
5853,6446
5510,6448
4928,6448
4983,6449
5764,6449
3210,6450
5012,6453
3016,6453
5143,6455
5713,6455
5222,6456
3842,6457
5298,6457
5201,6457
5763,6458
5490,6459
5545,6461
5484,6461
5742,6466
5875,6467
5722,6467
5380,6467
3294,6467
3067,6468
3097,6468
4565,6469
5606,6471
5772,6472
2784,6473
5423,6474
5434,6475
5659,6475
5212,6475
3153,6477
5557,6478
5320,6479
2954,6480
5787,6481
3183,6481
3017,6481
5577,6485
3074,6486
5657,6486
4855,6487
5575,6487
5798,6487
5644,6488
5654,6489
5539,6490
5566,6490
4826,6491
5668,6492
2970,6493
5634,6494
4991,6494
5109,6494
3021,6497
5618,6500
5406,6502
4949,6502
5504,6502
4949,6504
5315,6507
5854,6507
5860,6508
5447,6508
5800,6508
5468,6510
3177,6511
5567,6511
2765,6512
5757,6512
5488,6513
5233,6513
5772,6514
5281,6515
5826,6515
5501,6516
3108,6517
3186,6517
2986,6518
5556,6518
5731,6520
5599,6520
5274,6521
5106,6523
5484,6523
5797,6525
5344,6525
5551,6526
5476,6526
5624,6526
5489,6526
5664,6526
5413,6527
3066,6527
5485,6527
5791,6527
3147,6529
5704,6530
5246,6533
5854,6533
5560,6534
3233,6535
3143,6536
5545,6536
5764,6537
5411,6537
5706,6538
5596,6538
5603,6540
5683,6540
5514,6540
5582,6541
5836,6541
4811,6541
3132,6541
3066,6541
4762,6542
3112,6542
5679,6542
4975,6542
5451,6542
5538,6543
4243,6543
5474,6544
5561,6544
2940,6544
5781,6545
5463,6547
5154,6547
5444,6548
3236,6548
5569,6548
5312,6548
4753,6549
5402,6551
5432,6554
5624,6555
3337,6555
5037,6555
5736,6556
5549,6556
5783,6558
5109,6558
5497,6558
3169,6558
2717,6559
5452,6559
5579,6560
5666,6561
5493,6561
5355,6562
5558,6562
2985,6562
5402,6562
3025,6563
5860,6563
2990,6564
6027,6564
5184,6564
3018,6566
5099,6568
3012,6569
5712,6570
3132,6571
5498,6571
5356,6571
5442,6572
2928,6573
5572,6573
3110,6573
5636,6573
5404,6576
5657,6577
5368,6577
5373,6577
3020,6577
5454,6577
5324,6578
5596,6580
5345,6580
5641,6581
3285,6582
3040,6584
5661,6585
3173,6585
5651,6586
3045,6587
5645,6587
5655,6587
3083,6588
3031,6588
5606,6588
5799,6589
5745,6590
5754,6590
5348,6590
5770,6591
5646,6591
5662,6592
5647,6592
2807,6592
2964,6593
3027,6593
3084,6594
3119,6594
5420,6594
5501,6594
5714,6595
5941,6597
5572,6597
5073,6597
5729,6597
4924,6598
2995,6598
5377,6598
5417,6599
5614,6599
3146,6599
5803,6599
5288,6601
2921,6601
3153,6601
4848,6601
3125,6601
5470,6602
5410,6602
5699,6603
5376,6604
5646,6604
5962,6605
5607,6606
3010,6606
3158,6607
5891,6608
2909,6608
5365,6609
5560,6609
5671,6609
5691,6612
5634,6612
5598,6612
5216,6612
5420,6612
5072,6613
3059,6613
5514,6614
5637,6614
4852,6614
3159,6614
3059,6615
2855,6615
5644,6615
5271,6615
3089,6615
5742,6616
5770,6616
5659,6617
3129,6617
5474,6617
5644,6617
5635,6618
5461,6618
5736,6618
5314,6618
3009,6619
2940,6620
3130,6620
3046,6620
5608,6621
5371,6621
2810,6622
5447,6622
5565,6622
5332,6622
3214,6623
5271,6623
5319,6623
5346,6624
5432,6624
5853,6624
5562,6626
4866,6626
3268,6628
5394,6629
5619,6629
5228,6629
5476,6630
3036,6630
5632,6630
5859,6631
5394,6632
5485,6632
5518,6632
5789,6632
5684,6633
5665,6633
5213,6634
3011,6634
5260,6635
5345,6635
2715,6635
5323,6635
2989,6636
5460,6636
5451,6637
5103,6638
5626,6638
3038,6638
2893,6639
5650,6639
3226,6640
2932,6641
3124,6641
2772,6642
2844,6642
5695,6642
3360,6642
5839,6642
3267,6642
5433,6643
5037,6643
5448,6643
5795,6645
3258,6645
4743,6647
3041,6647
5853,6647
5570,6648
2930,6651
3639,6651
5468,6651
5148,6651
5259,6651
4096,6652
3051,6652
3072,6652
5342,6652
5615,6654
5819,6654
2987,6654
2889,6655
5703,6655
5504,6655
2984,6655
5694,6657
5234,6657
5438,6658
5354,6658
3224,6658
5406,6659
5471,6660
5514,6661
3134,6661
5735,6662
5320,6662
3071,6662
3722,6663
5094,6663
5538,6663
3048,6664
5479,6665
5582,6665
5437,6666
5759,6666
5627,6666
4924,6666
5638,6666
5576,6667
5529,6667
2991,6667
5446,6667
5530,6668
5529,6668
5392,6668
5487,6668
5421,6671
5656,6671
5708,6672
5589,6672
5581,6673
2996,6674
2924,6675
3184,6675
3106,6676
5496,6677
2959,6677
5496,6678
5555,6678
3121,6679
5382,6679
3217,6679
3174,6679
5615,6680
5449,6682
5460,6682
5370,6682
3197,6683
5412,6683
2890,6683
3058,6684
5592,6685
5544,6685
5859,6686
5621,6686
3297,6686
2993,6687
3155,6687
3243,6688
5180,6688
4780,6689
3194,6689
5382,6690
5623,6690
5532,6691
2805,6691
5647,6692
5842,6692
3030,6693
2979,6694
3156,6694
5609,6694
5597,6695
5635,6695
2846,6696
5692,6698
5533,6698
3290,6698
5428,6699
5659,6699
2809,6699
5512,6699
2896,6700
2963,6702
5120,6702
5455,6703
3181,6703
5556,6703
5470,6704
5156,6706
5230,6707
2945,6707
6066,6707
5085,6709
3034,6709
2988,6709
5506,6711
3114,6711
2802,6711
5589,6711
5365,6712
3052,6712
3081,6713
3206,6714
5511,6714
5397,6714
5796,6715
2818,6716
2834,6717
5093,6717
3034,6718
5576,6719
3074,6719
3092,6719
2810,6719
5628,6720
5594,6720
5639,6721
