Assay1 Amplitude,Assay2 Amplitude,Cluster
1013.95569,1374.38452,1
1018.83319,1411.34961,1
1024.25134,1428.02954,1
1026.58557,1313.9801,1
1027.90186,1362.46252,1
1028.35315,1290.64282,1
1030.07446,1319.80762,1
1032.229,1492.40735,1
1036.86426,1312.04663,1
1037.49207,1294.01892,1
1038.85315,1267.673,1
1041.26318,1257.8335,1
1042.18091,1486.10657,1
1045.51892,1317.37341,1
1045.54407,1392.17371,1
1046.94922,1449.73743,1
1046.59082,1394.15051,1
1046.46191,1430.15918,1
1046.39746,1385.75024,1
1047.59131,1322.91,1
1047.95361,1348.822,1
1048.98523,1461.84314,1
1048.29175,1318.78467,1
1051.58289,1405.39246,1
1052.3916,1422.65039,1
1054.08569,1469.4563,1
1055.05432,1304.8042,1
1055.46667,1537.93286,1
1056.74426,1416.98157,1
1057.82068,1282.55261,1
1057.04456,1382.71179,1
1058.93091,1405.25427,1
1058.8208,1259.796,1
1058.27637,1389.85,1
1058.74963,1382.75732,1
1058.77393,1359.23621,1
1059.83057,1354.50171,1
1060.43237,1346.8031,1
1060.5332,1359.2356,1
1060.07544,1417.69641,1
1061.70789,1320.11938,1
1065.60291,1236.14478,1
1065.53015,1426.30774,1
1066.222,1417.52893,1
1066.51074,1344.27283,1
1066.25757,1368.62939,1
1067.73083,1405.79553,1
1067.65369,1240.44568,1
1067.96228,1350.61255,1
1068.74841,1385.52222,1
1068.902,1292.10974,1
1068.76074,1305.83276,1
1069.78577,1394.06946,1
1069.43457,1537.25586,1
1069.13391,1345.79236,1
1069.41577,1411.78174,1
1069.27893,1256.2063,1
1069.52637,1364.59753,1
1069.02649,1336.94165,1
1070.36572,1314.4071,1
1070.79187,1436.319,1
1070.81738,1526.82861,1
1070.07446,1465.0824,1
1071.99646,1515.74561,1
1071.84753,1382.64307,1
1071.44678,1365.64478,1
1072.24878,1447.42432,1
1072.82153,1459.41553,1
1073.24182,1336.923,1
1073.9176,1190.46582,1
1074.14246,1377.20117,1
1074.64819,1415.32849,1
1074.25818,1315.68652,1
1074.93555,1373.20679,1
1076.79285,1296.005,1
1076.976,1286.72937,1
1077.04321,1349.19348,1
1077.12671,1299.72522,1
1078.10864,1414.90552,1
1078.5498,1272.95288,1
1078.00085,1387.96509,1
1079.68225,1354.33691,1
1080.65674,1494.10437,1
1081.56042,1393.54065,1
1081.32666,1343.82214,1
1081.52954,1485.086,1
1082.2771,1305.44336,1
1082.58508,1349.79553,1
1083.09253,1422.91858,1
1083.91052,1373.93481,1
1083.76624,1436.85938,1
1083.708,1363.512,1
1084.89673,1228.43652,1
1084.48877,1367.19458,1
1084.37622,1416.82019,1
1084.33,1367.69751,1
1085.18225,1491.93652,1
1085.65381,1344.842,1
1085.17,1291.95752,1
1085.85681,1258.65222,1
1085.525,1322.68823,1
1085.39844,1356.50635,1
1086.69116,1359.31555,1
1086.085,1455.97131,1
1086.20557,1415.77771,1
1086.11914,1296.001,1
1087.37134,1508.59924,1
1087.43665,1368.34253,1
1087.49,1333.98352,1
1088.79358,1369.05493,1
1088.51929,1269.54468,1
1088.77356,1355.392,1
1088.9176,1252.60425,1
1088.35645,1291.04333,1
1088.92041,1363.53772,1
1089.06824,1390.27979,1
1089.33508,1336.54846,1
1089.08252,1308.45447,1
1089.8634,1378.12048,1
1090.67419,1388.97119,1
1090.02356,1471.71631,1
1090.08472,1433.73181,1
1090.772,1335.3468,1
1091.01367,1364.85974,1
1091.5022,1270.29822,1
1091.95386,1391.32312,1
1091.163,1380.65771,1
1091.95752,1357.19177,1
1091.653,1302.48181,1
1091.85364,1335.69836,1
1091.57458,1318.60571,1
1091.492,1411.73718,1
1092.18469,1296.75562,1
1093.14246,1544.88818,1
1093.52808,1355.12866,1
1093.85791,1420.38562,1
1093.67212,1251.75549,1
1094.3313,1298.79944,1
1094.70532,1272.82544,1
1095.15894,1371.796,1
1095.64392,1432.44458,1
1095.20508,1294.51331,1
1095.68835,1410.31885,1
1095.90955,1274.48755,1
1096.54529,1473.02954,1
1096.9679,1288.58777,1
1096.7052,1299.14185,1
1096.06213,1375.71326,1
1096.72192,1321.71033,1
1097.77856,1320.17566,1
1097.3761,1342.13867,1
1097.85962,1406.08875,1
1097.255,1364.81665,1
1097.64465,1306.43689,1
1097.37109,1399.4967,1
1097.29529,1399.68274,1
