Assay1 Amplitude,Assay2 Amplitude,Cluster
1296.939,1538.26868,1
1328.95276,1564.05884,1
1336.6366,1561.97009,1
1344.93884,1502.75378,1
1351.54846,1615.1604,1
1355.66467,1561.24426,1
1356.40967,1753.01917,1
1363.23926,2160.98,1
1364.15332,1573.4967,1
1364.84216,1591.7688,1
1367.20142,1480.20691,1
1368.22693,1520.84961,1
1373.07129,1573.51013,1
1376.96057,1501.13428,1
1381.55444,1625.36877,1
1381.62683,1599.93115,1
1383.664,1607.923,1
1391.99255,1573.4917,1
1400.96924,1580.84619,1
1401.849,1498.60413,1
1401.92017,1494.45544,1
1403.62622,1567.6593,1
1403.2666,1584.11963,1
1405.34326,1522.46045,1
1405.371,1548.88367,1
1406.70349,1708.72571,1
1408.013,1603.45276,1
1408.88367,1547.798,1
1409.7251,1476.75049,1
1410.42676,1437.55823,1
1411.60217,1629.27966,1
1414.10107,1517.90442,1
1415.97156,1688.62744,1
1416.01477,1621.14026,1
1418.31433,1564.04285,1
1419.56287,1560.876,1
1420.37683,1515.68542,1
1421.884,1506.59888,1
1421.44727,1600.94958,1
1422.52832,1535.91479,1
1422.27625,1532.925,1
1425.20825,1644.94177,1
1425.84558,1535.60913,1
1427.63428,1630.61011,1
1428.22961,1433.2002,1
1428.71912,1672.23,1
1428.5365,1489.0592,1
1430.13586,1520.57178,1
1431.34875,1502.324,1
1431.129,1589.55969,1
1432.74158,1528.2312,1
1432.80811,1500.06311,1
1433.37646,1627.11536,1
1434.41528,1461.95154,1
1434.13892,1480.09314,1
1436.65845,1531.15222,1
1436.29126,1443.92871,1
1437.92981,1566.35266,1
1438.9519,1511.04175,1
1438.89636,1502.18774,1
1438.43518,1538.12231,1
1438.91321,1550.168,1
1439.51233,1514.00769,1
1440.7583,1586.35547,1
1440.89709,1529.87415,1
1440.47949,1605.61084,1
1440.21313,1510.056,1
1440.93372,1470.43628,1
1440.28992,1456.15881,1
1441.97437,1471.03271,1
1441.33728,1602.17419,1
1442.31384,1581.33179,1
1442.89661,1471.77209,1
1442.96863,1582.11682,1
1442.81323,1568.65527,1
1444.89893,1466.04346,1
1444.42639,1561.53394,1
1444.72034,1497.50146,1
1446.81873,1596.68469,1
1446.16516,1534.114,1
1446.27344,1490.93518,1
1447.33,1458.206,1
1447.52222,1564.24475,1
1447.76172,1527.98145,1
1447.22437,1715.7688,1
1447.7428,1595.36829,1
1447.11816,1508.31641,1
1448.11108,1556.65845,1
1448.73364,1494.55029,1
1449.87671,1478.0719,1
1449.09167,1614.57776,1
1449.14392,1530.22437,1
1449.38647,1558.21338,1
1450.7666,1541.31421,1
1450.70007,1493.2019,1
1450.15125,1428.731,1
1450.06519,1526.41443,1
1450.3092,1584.31958,1
1451.72449,1511.77209,1
1451.81506,1483.40881,1
1451.41089,1514.96143,1
1452.322,1382.7251,1
1452.75464,1572.45276,1
1452.19214,1389.73145,1
1452.19226,1545.33337,1
1452.28149,1547.12769,1
1453.36023,1447.91541,1
1453.2395,1461.2301,1
1453.10315,1555.52454,1
1453.8927,1442.225,1
1454.50928,1485.728,1
1454.20569,1443.6908,1
1454.39441,1607.17358,1
1454.51538,1484.66125,1
1454.43677,1644.72693,1
1455.12927,1524.44,1
1455.61169,1539.39343,1
1456.59863,1467.48242,1
1456.99048,1494.62415,1
1456.31226,1531.76709,1
1456.68457,1474.05237,1
1456.429,1586.415,1
1456.70679,1514.3042,1
1456.259,1533.83044,1
1456.59,1671.48486,1
1456.8468,1553.33337,1
1457.60193,1476.52478,1
1457.48254,1523.45837,1
1457.04407,1571.58435,1
1457.508,1550.20789,1
1457.53308,1492.841,1
1457.46765,1532.18311,1
1457.24475,1471.30334,1
1457.97351,1578.09241,1
1458.02332,1577.69836,1
1458.34692,1487.55957,1
1458.25122,1510.42969,1
1458.35278,1494.33862,1
1458.765,1514.22925,1
1458.384,1452.97327,1
1458.85767,1499.93787,1
1459.73291,1548.70386,1
1459.01,1569.2467,1
1459.36389,1451.45337,1
1459.81934,1476.57227,1
1459.87036,1485.26013,1
1459.9552,1642.15784,1
1459.29639,1495.15576,1
1460.33447,1500.70264,1
1460.69763,1536.62952,1
1460.75623,1509.183,1
1460.04175,1510.51477,1
1460.618,1402.74976,1
1460.75061,1583.97778,1
1461.09521,1619.947,1
1461.59534,1493.00586,1
1461.9729,1544.89612,1
1462.33093,1475.5658,1
1462.90369,1539.14954,1
1462.9574,1711.721,1
1462.12109,1571.89746,1
1462.7876,1570.29272,1
1462.18384,1496.56543,1
1462.65125,1631.85229,1
1462.56238,1487.88379,1
1462.21057,1528.99976,1
1463.48157,1527.557,1
1463.92371,1467.43689,1
1463.52429,1504.25854,1
1463.78333,1553.54053,1
1463.23047,1479.79211,1
1463.15381,1552.522,1
1463.68347,1506.95837,1
1463.36646,1584.62427,1
1463.87537,1504.63293,1
1464.86572,1443.64587,1
1464.72351,1520.85217,1
1464.26587,1520.64734,1
1464.4281,1498.94189,1
1464.10522,1588.371,1
1464.11548,1492.71,1
1464.93323,1611.75159,1
1464.938,1454.44092,1
1464.02942,1508.10669,1
1465.37891,1561.51367,1
1465.75977,1548.25342,1
1465.58276,1571.86731,1
1465.90869,1579.27209,1
1465.88965,1422.37329,1
1465.2074,1609.21558,1
1465.19922,1565.81555,1
1466.94849,1579.82642,1
1466.35583,1417.72571,1
1466.57385,1539.20593,1
1466.39661,1537.84082,1
1466.76941,1503.75232,1
1466.7002,1421.23926,1
1466.4895,1621.253,1
1466.68066,1535.72839,1
1466.1333,1610.19434,1
1467.97217,1456.93628,1
1467.37561,1395.44775,1
1467.76733,1526.19324,1
1467.4635,1498.4707,1
1467.29419,1554.97083,1
1467.699,1640.85132,1
1468.902,1475.51453,1
1468.58252,1691.61084,1
1468.53235,1496.659,1
1468.28821,1604.14575,1
1469.53918,1529.27466,1
1469.51782,1474.88525,1
1469.24084,1470.49011,1
1469.26379,1541.54321,1
1469.05322,1512.54639,1
1469.08582,1555.8866,1
1469.80835,1547.72644,1
1470.53394,1619.36646,1
1470.72144,1569.61255,1
1470.64368,1453.86584,1
1470.01709,1503.7959,1
1470.236,1481.68591,1
1470.72131,1454.03906,1
1470.09827,1521.26855,1
1470.52661,1459.57031,1
1470.46045,1638.23352,1
1470.13013,1609.51965,1
1470.24451,1566.25977,1
1470.14807,1581.13025,1
1470.08264,1574.35046,1
1471.75867,1408.37366,1
1471.04736,1694.51917,1
1471.93323,1492.76062,1
1471.27893,1555.94006,1
1471.20166,1454.95569,1
1471.77832,1588.88989,1
1471.32129,1485.75745,1
1471.9967,1426.27209,1
1471.34558,1588.991,1
1471.59717,1543.25977,1
1471.50537,1547.59766,1
