Assay1 Amplitude,Assay2 Amplitude,Cluster
1123.309,1488.35254,1
1162.86121,1472.34277,1
1174.23657,1478.99414,1
1179.04785,1446.87219,1
1181.282,1355.20654,1
1185.0885,1402.013,1
1187.091,1477.76147,1
1191.92542,1569.09326,1
1192.71057,1469.74841,1
1196.30859,1508.97522,1
1197.99658,1455.46143,1
1197.92834,1412.34949,1
1197.87854,1332.53967,1
1197.01831,1498.09192,1
1198.64185,1398.6084,1
1198.48682,1420.54,1
1199.47083,1386.19043,1
1199.705,1386.52112,1
1201.79089,1380.10693,1
1202.40417,1435.493,1
1202.73035,1531.02075,1
1202.92786,1386.86328,1
1202.72791,1439.07727,1
1203.84583,1564.96814,1
1204.00293,1417.24548,1
1204.99072,1398.78088,1
1205.1936,1494.52332,1
1206.79211,1511.36267,1
1206.62622,1423.6134,1
1206.13525,1413.48169,1
1207.217,1593.47693,1
1207.26208,1450.85986,1
1207.12073,1513.286,1
1207.83081,1479.5448,1
1208.69275,1415.373,1
1208.83508,1388.28186,1
1209.92371,1383.63757,1
1209.861,1480.57922,1
1209.16943,1378.49927,1
1210.44141,1454.501,1
1210.6521,1458.81641,1
1210.77661,1475.93726,1
1211.45093,1371.61194,1
1211.37036,1571.64392,1
1211.71423,1384.25818,1
1211.96033,1419.9585,1
1211.97241,1389.593,1
1212.46289,1451.61047,1
1212.04871,1519.717,1
1213.439,1365.522,1
1213.18433,1371.61975,1
1214.14844,1312.24329,1
1214.41772,1332.79187,1
1214.13293,1580.94348,1
1214.43408,1404.12549,1
1215.22717,1282.04114,1
1215.62671,1434.47961,1
1215.54932,1360.1792,1
1215.96167,1446.54272,1
1216.29846,1376.69336,1
1217.96875,1413.518,1
1217.85327,1439.71765,1
1218.54382,1362.73267,1
1218.31506,1529.4248,1
1218.6449,1546.66858,1
1218.631,1469.98511,1
1219.70984,1432.70728,1
1219.00757,1360.57312,1
1220.03076,1424.49792,1
1220.53381,1430.71887,1
1221.04675,1585.58655,1
1221.22388,1434.18713,1
1221.02014,1403.3429,1
1221.32239,1408.27527,1
1221.23572,1337.5177,1
1221.8927,1375.66187,1
1222.16968,1471.333,1
1222.75671,1412.86243,1
1222.46094,1389.72607,1
1222.92065,1497.95215,1
1222.18811,1460.749,1
1222.57385,1372.03333,1
1222.28931,1469.79431,1
1223.22571,1459.3324,1
1223.34521,1363.31091,1
1223.36621,1422.18286,1
1223.52026,1527.03015,1
1223.13428,1458.88269,1
1223.13171,1561.27588,1
1223.42432,1416.996,1
1223.58032,1472.05371,1
1224.93945,1446.92407,1
1224.2843,1375.88672,1
1224.398,1493.16711,1
1224.45068,1454.63281,1
1224.94238,1415.07214,1
1224.40039,1281.26941,1
1225.08411,1364.92932,1
1225.468,1389.172,1
1225.54688,1360.324,1
1225.96265,1431.89868,1
1225.215,1383.43481,1
1225.14563,1482.71814,1
1226.54932,1438.06543,1
1226.11548,1483.22522,1
1227.91772,1338.11816,1
1227.32581,1485.83667,1
1227.97559,1331.22,1
1227.21655,1341.01843,1
1227.002,1453.89832,1
1227.559,1540.59277,1
1228.29065,1329.70471,1
1228.76965,1430.059,1
