Assay1 Amplitude,Assay2 Amplitude,Cluster
1050.82593,1024.91211,1
1060.0199,1023.31635,1
1170.55212,1208.40222,1
1194.77942,1175.0293,1
1199.56763,1279.8761,1
1214.90942,1226.54138,1
1224.04333,1237.99207,1
1225.9541,1325.44019,1
1233.33215,1412.06226,1
1242.4093,1590.55872,1
1243.46814,1320.12183,1
1247.3374,1572.52588,1
1247.72278,1533.72,1
1248.303,1286.11609,1
1250.32739,1568.92627,1
1251.16492,1234.65955,1
1252.64307,1579.80017,1
1254.83069,1327.74451,1
1258.49561,1520.105,1
1260.54944,1444.96741,1
1261.77,1482.15869,1
1261.64868,1423.35083,1
1262.43384,1466.97156,1
1264.12976,1214.7301,1
1266.93713,1473.018,1
1270.44055,1587.596,1
1273.642,1494.20886,1
1273.09485,1445.25671,1
1276.16821,1570.22668,1
1280.42908,1470.11194,1
1281.00134,1168.42859,1
1283.28333,1440.56506,1
1283.71729,1486.82263,1
1284.65051,1559.10181,1
1285.98779,1549.61877,1
1286.59155,1508.80151,1
1286.45166,1530.37122,1
1286.61609,1563.25671,1
1287.81775,1310.52429,1
1288.04,1533.92786,1
1289.25427,1216.26819,1
1289.90991,1459.39783,1
1290.4707,1458.7583,1
1290.29065,1329.71423,1
1291.39392,1461.32,1
1291.44617,1405.01721,1
1291.06738,1461.72583,1
1291.71643,1338.60278,1
1292.31531,1407.554,1
1292.31958,1385.324,1
1298.04248,1444.63647,1
1298.25159,1544.46228,1
1298.68127,1516.49207,1
1298.5199,1522.679,1
1298.35754,1515.01636,1
1299.12463,1551.784,1
1299.54761,1522.92188,1
1300.65637,1336.766,1
1300.89087,1153.22937,1
1301.91748,1515.393,1
1301.20825,1502.28088,1
1303.48633,1457.15674,1
1303.298,1501.50317,1
1304.47083,1591.94873,1
1304.37708,1670.66919,1
1305.90173,1523.96252,1
1305.04651,1536.40027,1
1306.74048,1544.8717,1
1306.07629,1508.30823,1
1307.17554,1387.45435,1
1307.51721,1499.39832,1
1307.23486,1509.78918,1
1307.96313,1465.21375,1
1307.61963,1460.111,1
1308.3927,1457.98718,1
1308.47156,1538.58826,1
1308.20569,1570.25085,1
1308.667,1555.81165,1
1309.06848,1438.40479,1
1310.42615,1568.0116,1
1310.33069,1322.894,1
1310.17578,1404.57654,1
1311.24963,1315.121,1
1311.3175,1511.43628,1
1311.08777,1471.929,1
1312.76062,1445.31641,1
1312.07556,1346.255,1
1312.03442,1520.30164,1
1312.442,1668.07776,1
1313.71509,1563.9812,1
1313.88635,1509.85486,1
1313.9563,1296.11389,1
1313.99377,1256.42908,1
1314.33777,1639.28345,1
1314.07056,1562.57813,1
1314.31982,1474.12183,1
1314.79028,1552.49719,1
1315.35864,1460.15723,1
1315.424,1434.21692,1
1315.6731,1544.08118,1
1315.47681,1555.17029,1
1316.24707,1459.6698,1
1316.134,1547.9751,1
1316.7417,1559.85486,1
1317.80872,1522.96387,1
1317.50549,1628.68567,1
1317.06787,1529.23975,1
1317.08972,1486.51514,1
1317.03442,1496.61609,1
1318.75342,1263.1626,1
1318.48633,1505.93921,1
1318.98816,1485.05347,1
1318.10986,1261.27673,1
1318.32849,1436.44983,1
1319.33936,1505.3092,1
1319.05664,1492.83337,1
1319.86255,1593.72961,1
1320.63074,1400.56238,1
1320.93555,1259.00366,1
1320.80627,1334.76111,1
1321.86353,1580.62769,1
1321.95837,1471.76086,1
1322.8252,1585.914,1
1322.66333,1437.62463,1
1322.43481,1468.47241,1
1322.16882,1531.77393,1
1322.48608,1492.07251,1
1323.97791,1448.27417,1
1323.09009,1470.75891,1
1323.89893,1571.95313,1
1323.90747,1530.69885,1
1323.79822,1434.47961,1
1324.79456,1507.84851,1
1324.71277,1476.61377,1
