Assay1 Amplitude,Assay2 Amplitude,Cluster
995.7866,1310.82275,1
1027.78442,1221.47839,1
1036.16687,1349.53088,1
1037.59229,1348.24573,1
1038.75159,1326.37158,1
1055.21252,1380.379,1
1058.37122,1305.37769,1
1058.43542,1392.39453,1
1060.8551,1307.69482,1
1062.38562,1313.41382,1
1062.77722,1245.949,1
1065.51563,1420.83337,1
1066.97009,1348.97363,1
1069.98413,1419.35669,1
1071.95215,1440.73792,1
1071.1665,1383.58875,1
1072.941,1387.56482,1
1072.86523,1392.45129,1
1073.71252,1423.34729,1
1074.64136,1411.39185,1
1074.49316,1376.23682,1
1074.49524,1336.24524,1
1075.59717,1309.28882,1
1075.31787,1347.8269,1
1076.74011,1377.29529,1
1077.468,1390.92444,1
1079.8783,1261.45752,1
1080.95959,1407.7887,1
1080.488,1309.27649,1
1081.4906,1363.3623,1
1082.57373,1336.83984,1
1082.59851,1383.46118,1
1082.05127,1382.72522,1
1082.98364,1264.33643,1
1083.05762,1382.91125,1
1084.21948,1266.87744,1
1084.02429,1386.50037,1
1084.40723,1306.1709,1
1084.72546,1345.56091,1
1085.47913,1324.4989,1
1085.19751,1353.26672,1
1085.49438,1352.20679,1
1085.45117,1349.95,1
1085.50037,1377.13025,1
1085.65515,1487.22424,1
1086.82166,1378.35156,1
1086.90076,1351.6095,1
1086.70947,1318.18164,1
1087.94922,1326.93616,1
1087.73462,1365.6709,1
1087.01672,1395.89758,1
1087.139,1483.36255,1
1088.31213,1385.41223,1
1088.25012,1155.13806,1
1088.96875,1316.91,1
1089.611,1332.89844,1
1089.6825,1304.61951,1
1089.79175,1386.22058,1
1089.18445,1409.82935,1
1089.34851,1346.92139,1
1090.9895,1352.57727,1
1091.339,1361.107,1
1091.83362,1344.10315,1
1091.92334,1251.35339,1
1091.11572,1478.50183,1
1092.90686,1379.63257,1
1092.33447,1329.06836,1
1092.4845,1342.7262,1
1092.55261,1317.47375,1
1092.49561,1382.58374,1
1093.86157,1417.55981,1
1093.244,1357.7467,1
1093.62219,1273.45752,1
1094.54138,1296.03967,1
1094.25378,1284.44958,1
1094.12415,1397.11365,1
1095.74072,1427.024,1
1095.24414,1413.12976,1
1095.64209,1274.41528,1
1095.21814,1396.09607,1
1095.25867,1324.69922,1
1095.067,1336.58264,1
1095.74121,1388.43323,1
1095.64807,1306.70349,1
1095.593,1339.98547,1
1095.22,1393.90723,1
1096.36243,1318.92163,1
1097.42981,1431.42456,1
1097.38257,1425.278,1
1097.88354,1393.09424,1
1097.69629,1224.64355,1
1097.90137,1292.97571,1
1097.0304,1280.68542,1
1097.592,1431.27893,1
1098.64221,1431.804,1
1098.344,1384.84949,1
1098.90393,1325.93176,1
1098.92188,1300.92773,1
1098.94531,1356.3551,1
1098.2207,1312.3645,1
1098.83032,1443.65454,1
1098.25977,1340.89539,1
1098.45288,1378.54944,1
1099.521,1324.04077,1
1099.16565,1345.72229,1
1099.74158,1250.56433,1
1100.4436,1260.14111,1
1100.22119,1362.15308,1
1100.27759,1446.37512,1
1100.17126,1514.39514,1
1100.95325,1178.11279,1
1100.00427,1383.21094,1
1100.8999,1384.43945,1
1100.5459,1281.39038,1
1100.87427,1288.71326,1
1100.30273,1383.992,1
1101.0249,1302.66785,1
1101.88147,1426.91211,1
1101.49866,1462.265,1
1101.07336,1297.14136,1
1101.61768,1282.51208,1
1102.405,1347.33923,1
1102.21655,1320.44788,1
1102.44458,1442.38293,1
1102.38342,1442.231,1
1102.72644,1369.77063,1
1102.5293,1367.08044,1
1102.96875,1427.56787,1
1102.79626,1324.50366,1
1103.35962,1368.41382,1
1103.18042,1497.3186,1
1103.65759,1367.58142,1
1103.00024,1399.10815,1
1103.61938,1368.14136,1
1104.58984,1396.03833,1
1104.77563,1433.015,1
1104.71509,1389.94836,1
1104.20349,1305.98853,1
1104.41687,1418.77063,1
1104.407,1215.07178,1
1104.19531,1301.935,1
1104.03308,1381.18945,1
1104.29626,1324.7887,1
1104.35681,1374.52173,1
1104.79858,1338.838,1
1105.59668,1364.53467,1
1105.02234,1394.98987,1
1105.632,1290.92126,1
1106.21191,1420.90417,1
1106.88086,1312.42651,1
1106.5199,1419.215,1
1106.74426,1283.29053,1
1106.959,1351.66406,1
1106.871,1314.3645,1
1106.7373,1305.76855,1
1106.23584,1355.14563,1
1107.746,1280.70862,1
1107.271,1312.90137,1
1107.46338,1355.40125,1
1107.17737,1442.21387,1
1107.95483,1370.72461,1
1107.00012,1210.93408,1
1108.57947,1348.07837,1
1108.90259,1283.7937,1
1108.03577,1305.83557,1
1108.07739,1334.24475,1
1108.50977,1325.48279,1
1108.30188,1143.612,1
1108.55469,1320.679,1
1108.86487,1257.486,1
1108.63708,1396.2616,1
1108.308,1416.1095,1
1109.02722,1391.9989,1
1109.07324,1366.74353,1
1109.41187,1362.89563,1
1109.9165,1381.15662,1
1109.68018,1328.20166,1
1109.5896,1382.8822,1
1109.66858,1397.49915,1
1109.37659,1351.92542,1
1109.72144,1382.991,1
1110.27161,1282.33813,1
1110.057,1272.07153,1
1110.85645,1311.15662,1
1110.8313,1354.32715,1
1110.51221,1341.42053,1
1110.85889,1376.63013,1
1110.34583,1278.35754,1
1110.886,1268.19165,1
1110.96948,1483.75757,1
1110.16907,1356.73328,1
1110.6947,1406.97937,1
1110.30566,1444.82153,1
1110.8573,1320.99976,1
1111.25049,1432.55774,1
1111.82227,1337.70959,1
1111.18823,1373.917,1
