Assay1 Amplitude,Assay2 Amplitude,Cluster
1075.16089,1484.51111,1
1089.69409,1355.17676,1
1103.73792,1431.0929,1
1113.207,1386.25146,1
1114.81567,1385.54565,1
1114.41553,1362.13879,1
1122.64832,1381.27283,1
1122.99658,1349.51208,1
1123.91357,1412.89453,1
1135.52319,1376.98535,1
1137.12891,1472.39722,1
1138.01855,1350.07043,1
1139.84058,1447.46631,1
1141.4386,1425.80493,1
1141.65991,1453.3457,1
1143.48779,1345.65015,1
1145.02344,1469.92261,1
1145.37817,1379.69263,1
1146.27771,1491.49976,1
1147.83276,1349.73572,1
1147.13489,1329.88367,1
1147.84912,1385.35864,1
1148.58582,1438.06653,1
1148.442,1433.99585,1
1149.2478,1416.69922,1
1150.74719,1384.10669,1
1150.45618,1366.229,1
1151.38025,1401.28589,1
1151.90845,1455.99768,1
1151.7677,1275.49561,1
1151.80664,1422.00842,1
1151.51514,1436.9104,1
1153.417,1442.75635,1
1154.77747,1335.66638,1
1155.40979,1382.23962,1
1155.78967,1467.54736,1
1155.77454,1520.13965,1
1155.13745,1366.87488,1
1155.73315,1316.821,1
1156.65466,1361.94568,1
1156.49792,1496.42114,1
1156.086,1393.78955,1
1156.08594,1382.74329,1
1156.27539,1380.15491,1
1157.90674,1490.23462,1
1157.2019,1358.72791,1
1157.88721,1386.35107,1
1157.114,1567.59363,1
1158.87366,1441.371,1
1158.44348,1321.96,1
1160.28723,1487.71521,1
1161.59912,1359.9104,1
1161.14148,1443.41748,1
1161.97217,1436.244,1
1161.83728,1282.11084,1
1161.81763,1334.76123,1
1162.99463,1381.199,1
1162.63123,1378.14014,1
1162.2417,1377.40735,1
1162.21606,1304.219,1
1162.451,1315.2926,1
1162.6073,1434.007,1
1163.90271,1460.19824,1
1163.22339,1351.91675,1
1163.27673,1354.87878,1
1163.2926,1324.36975,1
1163.94421,1436.20557,1
1163.25818,1356.26636,1
1163.95642,1320.2616,1
1164.55286,1384.26282,1
1164.69446,1361.12769,1
1165.44983,1441.41919,1
1165.92261,1307.19006,1
1165.3114,1406.71838,1
1166.94165,1332.98877,1
1166.22668,1332.38635,1
1166.2489,1391.09949,1
1167.71008,1386.90955,1
1167.61536,1387.617,1
1167.28027,1354.39392,1
1167.68823,1343.30334,1
1167.65576,1290.48511,1
1167.82642,1376.78772,1
1167.65356,1407.50525,1
1167.30615,1380.48315,1
1167.23608,1351.82227,1
1168.89,1372.45764,1
1168.388,1478.81885,1
1168.02966,1403.15283,1
1168.73157,1442.90332,1
1168.13965,1363.3186,1
1168.5011,1385.58557,1
1168.253,1416.922,1
1168.64587,1358.87732,1
1169.67737,1368.96252,1
1169.118,1392.10559,1
1169.02246,1301.34973,1
1169.96338,1424.69055,1
1169.73743,1337.336,1
1169.26,1363.73511,1
1169.77515,1419.21985,1
1169.43848,1535.47778,1
1170.71436,1427.68079,1
1170.06653,1307.84912,1
1170.62878,1422.89807,1
1170.01318,1470.648,1
1170.00684,1342.2323,1
1170.83984,1270.72937,1
1170.80945,1441.94507,1
1170.57385,1293.63892,1
1170.20789,1357.34045,1
1170.64539,1403.23438,1
1170.11853,1402.94751,1
1170.09839,1381.12378,1
1170.74084,1379.49939,1
1171.87207,1407.99585,1
1171.26721,1415.61255,1
1171.2312,1400.6449,1
1171.04529,1356.26477,1
1171.14233,1396.61389,1
1171.94153,1414.884,1
1171.38855,1427.10791,1
1171.96387,1439.55151,1
1172.48047,1422.62988,1
1172.43018,1362.591,1
1172.62292,1368.24768,1
1172.96985,1430.90637,1
1172.37671,1394.29785,1
1172.36719,1388.25183,1
1172.29175,1367.88843,1
1173.66541,1306.21021,1
1173.65356,1351.56775,1
1173.876,1263.269,1
1173.41614,1401.05786,1
1174.67065,1319.61609,1
1174.2229,1452.92517,1
1174.13184,1424.10559,1
1174.95483,1470.65332,1
1174.17358,1324.96021,1
1174.76416,1314.12708,1
1174.14209,1426.95386,1
1175.28247,1338.29346,1
1175.76733,1490.5553,1
1175.382,1401.23413,1
1175.95044,1508.13416,1
1175.424,1333.46716,1
1176.4281,1310.22742,1
1176.14941,1309.96521,1
1176.0238,1334.72107,1
1176.75269,1446.47131,1
1176.97,1359.73572,1
1176.33826,1386.96521,1
1176.17615,1373.32031,1
1176.08984,1389.25073,1
1177.09314,1369.25537,1
1177.09436,1361.66272,1
1177.85889,1320.34277,1
1177.4386,1399.928,1
1177.88428,1354.951,1
1177.92444,1376.85242,1
1177.21643,1356.76331,1
1177.9325,1393.25049,1
1177.98926,1479.3125,1
1177.89917,1395.48462,1
1177.84155,1392.68823,1
1178.8949,1355.80811,1
1178.74634,1451.505,1
1178.48682,1454.23547,1
1178.4082,1399.26355,1
1178.56079,1378.36926,1
1178.16,1357.36426,1
1178.01416,1366.97888,1
1178.10461,1309.80225,1
1178.96667,1418.59766,1
1178.33752,1424.24866,1
1178.60486,1300.16663,1
1178.17712,1386.99438,1
1178.15686,1461.03735,1
1178.96985,1375.4231,1
1178.99536,1375.91687,1
1178.30371,1333.78186,1
1178.73816,1301.05847,1
1179.25781,1353.11047,1
1179.76855,1414.52551,1
1179.33618,1300.1615,1
1179.3147,1426.921,1
1179.84912,1330.12634,1
1179.68872,1446.24976,1
1180.75012,1364.9165,1
1180.7052,1378.35364,1
1180.88,1437.77722,1
1180.02991,1378.57007,1
1180.82642,1333.69788,1
1180.63916,1329.05286,1
1180.57336,1371.41235,1
1180.37817,1325.23816,1
1180.15149,1485.15894,1
1180.65027,1467.28088,1
1180.58582,1295.00293,1
1181.72156,1332.32764,1
1181.60767,1487.91064,1
1181.13367,1453.7915,1
1181.414,1344.49268,1
1181.79175,1321.33911,1
1181.72375,1332.33276,1
1181.77319,1332.50635,1
1181.57922,1371.80176,1
1181.723,1411.13855,1
1181.34106,1424.72156,1
1182.1615,1375.36682,1
1182.0791,1385.67554,1
1182.9386,1438.81738,1
1182.71924,1378.40771,1
1182.79358,1383.333,1
1182.37488,1334.65564,1
1182.85266,1330.64832,1
1182.57935,1448.68518,1
1182.82117,1406.33374,1
1182.539,1334.222,1
1183.5061,1388.99353,1
1183.93652,1540.899,1
1183.704,1397.52515,1
1183.5946,1398.55481,1
1183.48047,1488.18237,1
1183.23083,1317.87207,1
1183.02014,1366.26855,1
1183.3457,1274.38,1
1183.86072,1340.15662,1
1184.04907,1427.395,1
1184.70984,1351.15833,1
1184.70654,1375.90015,1
1184.26318,1490.19336,1
1184.89868,1362.35022,1
1184.69409,1324.3894,1
1184.79114,1452.37769,1
1184.18335,1336.72656,1
1184.06177,1367.09265,1
1184.77161,1377.34741,1
1184.245,1430.4834,1
1184.494,1472.15613,1
1184.50659,1248.31958,1
1184.28833,1382.837,1
1185.87158,1392.343,1
1185.2489,1370.38672,1
1185.5332,1390.38232,1
1185.485,1397.23022,1
1185.18188,1420.10046,1
1185.874,1385.97327,1
1185.34875,1411.82434,1
1185.4115,1382.65271,1
1185.54175,1358.81763,1
1185.01538,1354.9165,1
1185.34631,1315.78687,1
1185.5094,1317.44763,1
1185.456,1267.134,1
1185.44922,1307.85669,1
1185.649,1474.13806,1
1186.28552,1371.16162,1
1186.65576,1348.54224,1
1186.23047,1419.56287,1
1186.39758,1394.11255,1
1186.12549,1236.82275,1
1186.22473,1379.56433,1
1186.19629,1494.51636,1
1186.88062,1370.04309,1
1186.3894,1369.97046,1
1186.954,1320.3584,1
1186.08289,1471.60034,1
1186.02039,1416.21033,1
1186.171,1413.71716,1
1186.37988,1367.61023,1
1186.89246,1369.76318,1
1186.912,1317.364,1
1186.74451,1360.69934,1
1186.17847,1407.357,1
1186.087,1464.05017,1
1186.80493,1446.77319,1
1186.79163,1426.60486,1
1186.20129,1340.85645,1
1187.03027,1339.51807,1
1187.9314,1367.03284,1
1187.156,1460.58765,1
1187.67078,1408.6582,1
1187.11731,1449.29468,1
1187.43176,1380.79529,1
1187.24463,1450.44836,1
1187.98535,1320.94092,1
1187.58667,1328.71313,1
1187.45386,1404.06543,1
1187.87463,1317.13184,1
1187.89734,1432.51465,1
1187.60413,1510.68225,1
1187.85474,1348.21484,1
1187.95679,1426.42236,1
1187.732,1418.73425,1
1188.06323,1435.94739,1
1188.48535,1424.258,1
1188.84131,1362.84082,1
1188.68665,1347.59546,1
1188.42737,1364.40283,1
1188.2616,1426.46777,1
1188.78687,1341.03589,1
1188.571,1366.64307,1
1188.88208,1489.26367,1
1188.69568,1363.53821,1
1188.474,1315.46375,1
1188.30115,1444.00842,1
1188.38416,1387.44409,1
1188.43286,1369.00659,1
1189.40576,1346.06677,1
1189.16479,1453.0553,1
1189.26819,1408.02148,1
1189.04456,1383.87866,1
1189.296,1344.52734,1
1189.19275,1384.481,1
1189.186,1339.28381,1
1189.27954,1362.88635,1
1189.58386,1411.13562,1
1189.65515,1380.52283,1
1189.38672,1393.51868,1
1189.93066,1407.8103,1
1189.06152,1304.64319,1
1189.65686,1306.577,1
1189.112,1336.10413,1
1190.89526,1333.8761,1
1190.26746,1282.04065,1
1190.05969,1388.36011,1
1190.15149,1468.11292,1
1190.36133,1468.19971,1
1190.25244,1294.95984,1
1190.47046,1320.62341,1
1190.05139,1312.04431,1
1190.3219,1327.31775,1
1190.373,1350.76392,1
1190.36316,1358.59021,1
1190.22546,1418.4447,1
1190.03223,1474.68677,1
1190.58386,1359.77429,1
1190.17737,1294.06982,1
1190.354,1498.796,1
1190.04614,1475.60742,1
1190.53992,1450.61182,1
1190.60229,1384.19983,1
1191.96082,1317.75732,1
1191.17493,1417.59192,1
1191.82861,1358.95483,1
1191.0094,1315.97632,1
1191.29492,1418.13135,1
1191.71985,1391.5498,1
1191.95447,1388.79456,1
1191.97778,1357.8667,1
1191.76233,1375.35693,1
1191.32947,1450.53918,1
1191.08948,1457.91211,1
1191.13281,1400.16309,1
1191.605,1391.69067,1
1191.85266,1292.23926,1
1191.65479,1376.728,1
1191.69629,1334.9469,1
1192.94263,1435.63892,1
1192.88208,1343.92993,1
1192.6748,1337.96216,1
1192.29163,1349.31543,1
1192.77039,1354.8833,1
1192.20093,1348.11707,1
1192.1499,1332.5376,1
1192.88037,1323.48376,1
1192.27466,1383.34619,1
1192.96582,1357.95618,1
1192.33533,1363.26733,1
1192.68176,1361.94,1
1192.5293,1400.63977,1
1192.42993,1358.717,1
1192.72351,1377.30762,1
1192.89355,1411.26465,1
1193.99255,1342.10852,1
1193.30115,1452.38586,1
1193.62183,1449.34131,1
1193.65967,1360.76807,1
1193.50525,1384.04321,1
1193.19727,1371.235,1
1193.2627,1376.01428,1
1193.28784,1434.375,1
1193.20837,1304.742,1
1193.26025,1459.89514,1
1193.745,1368.471,1
1193.96045,1346.06653,1
1193.3,1312.149,1
1193.62573,1416.49292,1
1193.13708,1444.96375,1
1193.80469,1332.31323,1
1193.10461,1377.44177,1
1193.84424,1499.04419,1
1193.50989,1353.95264,1
1193.94287,1265.39014,1
1194.74146,1416.41162,1
1194.70264,1400.27307,1
1194.02747,1397.20618,1
1194.6676,1382.418,1
1194.24011,1475.54919,1
1194.51587,1295.5802,1
1194.45642,1314.89612,1
1194.14832,1394.603,1
1194.68445,1341.982,1
1194.94409,1331.22876,1
1194.29077,1427.20215,1
1194.99292,1404.76074,1
1194.67578,1447.68054,1
1194.14746,1378.37341,1
1194.09143,1313.47058,1
1194.60474,1361.5437,1
1194.93359,1299.76013,1
1194.51855,1301.676,1
1194.31958,1384.58044,1
1194.94336,1401.52136,1
1194.80493,1352.94568,1
1195.179,1371.00623,1
1195.07617,1406.21411,1
1195.72046,1294.782,1
1195.38354,1327.94946,1
1195.50439,1423.04028,1
1195.77051,1410.22,1
1195.41248,1456.20569,1
1195.35608,1463.90308,1
1195.96814,1345.82983,1
1195.25,1410.59949,1
1195.84058,1390.67773,1
1195.60486,1310.76746,1
1195.21985,1338.07507,1
1195.46851,1308.33142,1
1195.0968,1394.33594,1
1195.13367,1353.29749,1
1195.98828,1325.03833,1
1195.31689,1426.05835,1
1195.63464,1355.414,1
1195.0094,1343.859,1
1195.06641,1426.5321,1
1195.93677,1418.34082,1
1195.39844,1375.92126,1
1195.344,1387.55981,1
1195.82532,1399.479,1
1195.52429,1403.6781,1
1195.05688,1384.259,1
1195.38171,1350.6228,1
1196.2832,1361.0249,1
1196.28174,1287.49353,1
1196.80969,1379.98438,1
1196.50476,1377.11938,1
1196.56824,1318.89722,1
1196.48853,1431.74,1
1196.09937,1348.17407,1
1196.49365,1319.31689,1
1196.51208,1405.08032,1
1196.37927,1423.8855,1
1196.91724,1362.9873,1
1196.8418,1526.17456,1
1196.30591,1411.99182,1
1196.43237,1446.05554,1
1196.242,1417.24841,1
1196.98108,1392.1864,1
1196.23755,1300.05347,1
1196.75317,1426.46985,1
1196.80823,1386.67065,1
1196.56067,1433.1001,1
1197.76306,1344.07947,1
1197.23657,1452.20483,1
1197.58228,1358.75427,1
1197.584,1357.74072,1
1197.80334,1290.1499,1
1197.86646,1300.25977,1
1197.88965,1287.33948,1
1197.79529,1440.21021,1
1197.08215,1354.60559,1
1197.85461,1341.58313,1
1197.45386,1513.44531,1
1197.93262,1457.4,1
1197.868,1385.461,1
1197.89417,1314.5863,1
1197.60352,1381.92383,1
1197.51465,1297.56323,1
1197.144,1430.04993,1
1197.80627,1426.64368,1
1197.71741,1298.83228,1
1197.70007,1286.78052,1
1197.43091,1390.70752,1
1197.95471,1396.55139,1
1197.09448,1349.226,1
1197.28711,1268.15186,1
1197.1947,1429.55969,1
1197.02039,1423.245,1
1197.57983,1399.11584,1
1197.5509,1415.64111,1
1197.39343,1485.64722,1
1198.31091,1348.67615,1
1198.56592,1383.31226,1
1198.88977,1304.89026,1
1198.922,1366.79688,1
1198.41711,1366.36829,1
1198.96863,1454.10522,1
1198.05566,1374.518,1
1198.70386,1417.30579,1
1198.22192,1361.76135,1
1198.25684,1337.70435,1
1198.51953,1338.90979,1
1198.8385,1371.18811,1
1198.88757,1406.77173,1
1198.20093,1331.36377,1
1198.39526,1372.64246,1
1198.64124,1428.568,1
1198.8125,1423.56934,1
1198.12378,1302.54553,1
1198.79309,1357.47644,1
1198.307,1364.25024,1
1198.59253,1459.47778,1
1198.33582,1392.49072,1
1199.25391,1522.28552,1
1199.9834,1409.24329,1
1199.65784,1427.15015,1
1199.4801,1299.09839,1
1199.29944,1404.57263,1
1199.53723,1387.68677,1
1199.26489,1368.22791,1
1199.09583,1399.90308,1
1199.33337,1365.73071,1
1199.61328,1253.297,1
1199.43823,1354.7998,1
1199.15454,1367.72888,1
1199.78418,1485.4718,1
1199.242,1362.85889,1
1199.13745,1390.834,1
1199.71448,1369.00208,1
1199.3999,1264.79761,1
1199.39221,1370.402,1
1199.65967,1411.05359,1
1199.59155,1274.99988,1
1199.86877,1342.166,1
1199.40918,1371.23071,1
1199.95618,1229.97791,1
1199.61426,1366.798,1
1199.67786,1370.67078,1
1199.95447,1379.99609,1
1199.55054,1310.41064,1
1199.44653,1327.4978,1
1199.09314,1308.28479,1
1200.10449,1540.31641,1
1200.37048,1361.85376,1
1200.07935,1428.50452,1
1200.66162,1346.42773,1
1200.939,1375.6051,1
1200.5282,1369.45117,1
1200.07544,1279.0614,1
1200.00708,1426.41455,1
1200.69653,1383.61853,1
1200.38757,1328.73816,1
1200.43079,1420.82349,1
1200.19763,1312.59607,1
1200.81714,1272.47144,1
1200.1095,1368.02429,1
1200.82043,1398.76953,1
1200.95374,1259.08118,1
1200.67981,1400.432,1
1200.92664,1412.83826,1
1200.50854,1354.8667,1
1200.85193,1362.57593,1
1200.03613,1334.11182,1
1200.61731,1427.11353,1
1200.652,1371.9967,1
1200.87915,1462.00769,1
1200.63086,1415.57056,1
1200.25867,1347.59741,1
1200.86353,1351.924,1
1200.34351,1453.188,1
1201.28369,1368.0271,1
1201.59546,1363.21069,1
1201.675,1398.4187,1
1201.527,1301.06238,1
1201.55359,1413.64429,1
1201.85864,1413.0697,1
1201.16724,1406.98511,1
1201.37134,1323.32922,1
1201.069,1261.34485,1
1201.51245,1340.80029,1
1201.25476,1272.44727,1
1201.51782,1302.75574,1
1201.40564,1421.76208,1
1201.36829,1364.401,1
1201.29871,1318.86584,1
1201.36047,1285.38965,1
1201.5509,1335.30762,1
1201.90222,1338.761,1
1201.69653,1484.98767,1
1201.10352,1361.42334,1
1201.21826,1316.61755,1
1201.02563,1479.02563,1
1201.74,1397.09241,1
1201.22913,1408.738,1
1202.74463,1492.58093,1
1202.7218,1344.9043,1
1202.85632,1457.7655,1
1202.758,1394.50513,1
1202.787,1335.9906,1
1202.20117,1443.31055,1
1202.84753,1389.59949,1
1202.86145,1328.83984,1
1202.40271,1481.36255,1
1202.3407,1467.12622,1
1202.18689,1423.844,1
1202.79883,1346.07458,1
1202.84839,1314.19482,1
1202.82678,1374.68384,1
1202.92188,1349.662,1
1202.65332,1359.31836,1
1202.181,1435.10791,1
1202.08508,1336.9552,1
1202.63879,1402.12231,1
1202.8,1430.68982,1
1202.31421,1386.98132,1
1202.48218,1383.33911,1
1202.986,1312.39148,1
1202.08545,1273.44824,1
1202.96667,1382.77124,1
1202.11194,1482.07227,1
1202.48364,1434.48535,1
1203.58667,1339.53149,1
1203.07629,1409.53223,1
1203.20361,1329.819,1
1203.19006,1375.08447,1
1203.3136,1338.87451,1
1203.29065,1290.79248,1
1203.21143,1312.51746,1
1203.35815,1375.2511,1
1203.60181,1421.5072,1
1203.71509,1326.167,1
1203.04626,1326.731,1
1203.43079,1454.889,1
1203.19287,1332.44043,1
1203.13831,1418.271,1
1203.21631,1312.22949,1
1203.22412,1328.55029,1
1203.10217,1308.58557,1
1203.68311,1333.11633,1
1203.97974,1379.06506,1
1203.29565,1297.88574,1
1203.82275,1285.75757,1
1203.23657,1405.70874,1
1203.7168,1346.39722,1
1203.70447,1383.5979,1
1204.21521,1383.31543,1
1204.48523,1515.72534,1
1204.14856,1390.40466,1
1204.32483,1327.8606,1
1204.46875,1450.81885,1
1204.5957,1422.93274,1
1204.612,1291.14636,1
1204.28418,1408.15137,1
1204.84644,1373.26123,1
1204.36218,1372.21936,1
1204.63916,1354.49792,1
1204.30322,1337.7865,1
1204.362,1355.16406,1
1204.95007,1264.1947,1
1204.59778,1410.613,1
1204.01318,1297.15,1
1204.18982,1382.91211,1
1204.89526,1456.56421,1
1204.88843,1310.69775,1
1204.78137,1331.10388,1
1204.31152,1381.38159,1
1204.99243,1446.117,1
1204.06555,1315.39783,1
1204.80115,1351.21582,1
1204.63489,1383.47888,1
1204.99939,1319.54,1
1205.41345,1409.38037,1
1205.38831,1512.92322,1
1205.90479,1320.59412,1
1205.66809,1417.742,1
1205.49561,1321.589,1
1205.249,1298.08472,1
1205.80383,1450.0752,1
1205.3811,1379.63733,1
1205.72009,1322.663,1
1205.05957,1368.21643,1
1205.843,1370.71252,1
1205.26721,1373.00635,1
1205.28992,1363.77441,1
1205.28528,1422.62183,1
1205.32825,1340.21082,1
1205.8269,1346.17029,1
1205.34387,1419.14929,1
1205.13245,1421.99316,1
1205.08813,1402.19836,1
1205.087,1320.31689,1
1205.16943,1305.746,1
1205.75818,1439.8457,1
1205.266,1388.5968,1
1205.87561,1420.65234,1
1205.78381,1450.3125,1
1206.47888,1367.98633,1
1206.208,1387.48,1
1206.837,1462.09424,1
1206.08459,1302.70459,1
1206.43738,1362.82678,1
1206.81982,1387.66626,1
1206.97461,1395.79053,1
1206.14441,1376.72583,1
1206.73145,1420.11462,1
1206.62024,1494.75513,1
1206.51929,1358.17615,1
1206.69971,1357.471,1
1206.645,1326.1178,1
1206.54492,1289.93811,1
1206.27271,1341.08765,1
1206.784,1463.2262,1
1206.83276,1445.54712,1
1206.783,1316.15051,1
1206.72,1351.4397,1
1206.39807,1294.97681,1
1206.38757,1384.03809,1
1206.94714,1377.95911,1
1206.20374,1368.834,1
1206.32776,1446.73486,1
1206.81262,1432.38879,1
1206.32349,1367.11255,1
1206.83,1342.78345,1
1206.19946,1243.343,1
1206.397,1381.97253,1
1206.93286,1336.83447,1
1206.20752,1372.92957,1
1206.4054,1368.64429,1
1206.85071,1419.065,1
1207.60107,1317.45654,1
1207.63269,1260.03748,1
1207.7124,1275.54114,1
1207.68884,1390.273,1
1207.51172,1427.1,1
1207.60229,1415.44666,1
1207.81079,1462.9209,1
1207.69653,1328.285,1
1207.27478,1391.80713,1
1207.234,1410.767,1
1207.94189,1383.67236,1
1207.809,1412.11475,1
1207.17749,1277.66553,1
1207.8042,1370.63965,1
1207.35315,1309.62585,1
1207.61255,1457.57947,1
1207.99841,1312.55737,1
1207.5116,1478.71375,1
1207.23767,1537.61462,1
1207.6333,1370.68738,1
1207.57068,1302.18481,1
1207.78772,1373.72412,1
1207.58276,1432.31262,1
1207.67419,1370.60315,1
1207.71838,1300.40771,1
1207.64978,1343.045,1
1207.62134,1280.755,1
1207.26025,1355.20313,1
1207.08069,1356.31458,1
1207.22986,1403.8761,1
1207.59009,1423.07935,1
1207.42688,1343.94666,1
1207.59143,1302.94348,1
1207.758,1382.25146,1
1207.00659,1351.18274,1
1208.64392,1359.22083,1
1208.18713,1366.0658,1
1208.27515,1431.83069,1
1208.97974,1364.12,1
1208.19336,1395.98987,1
1208.36438,1387.68628,1
1208.08691,1341.75134,1
1208.46729,1375.89233,1
1208.8501,1323.61633,1
1208.20569,1329.74988,1
1208.76819,1307.97571,1
1208.791,1278.11743,1
1208.37732,1394.77942,1
1208.11365,1368.86731,1
1208.60583,1249.83521,1
1208.93823,1394.95129,1
1208.62769,1287.92969,1
1208.22693,1255.884,1
1208.90759,1386.30078,1
1208.81946,1382.54517,1
1208.39014,1417.07117,1
1208.74731,1357.763,1
1208.74573,1245.97937,1
1208.80322,1285.48547,1
1208.63123,1469.06213,1
1208.72217,1429.12036,1
1208.85718,1374.415,1
