well,sample,row,col,used,drops_initial
A01,a1,A,1,TRUE,3
B02,b2,B,2,TRUE,4
C03,NA,C,3,TRUE,4
A02,NA,A,2,FALSE,NA
A03,NA,A,3,FALSE,NA
A04,NA,A,4,FALSE,NA
A05,NA,A,5,FALSE,NA
A06,NA,A,6,FALSE,NA
A07,NA,A,7,FALSE,NA
A08,NA,A,8,FALSE,NA
A09,NA,A,9,FALSE,NA
A10,NA,A,10,FALSE,NA
A11,NA,A,11,FALSE,NA
A12,NA,A,12,FALSE,NA
B01,b2,B,1,FALSE,NA
B03,NA,B,3,FALSE,NA
B04,NA,B,4,FALSE,NA
B05,NA,B,5,FALSE,NA
B06,NA,B,6,FALSE,NA
B07,NA,B,7,FALSE,NA
B08,NA,B,8,FALSE,NA
B09,NA,B,9,FALSE,NA
B10,NA,B,10,FALSE,NA
B11,NA,B,11,FALSE,NA
B12,NA,B,12,FALSE,NA
C01,NA,C,1,FALSE,NA
C02,NA,C,2,FALSE,NA
C04,NA,C,4,FALSE,NA
C05,NA,C,5,FALSE,NA
C06,NA,C,6,FALSE,NA
C07,NA,C,7,FALSE,NA
C08,NA,C,8,FALSE,NA
C09,NA,C,9,FALSE,NA
C10,NA,C,10,FALSE,NA
C11,NA,C,11,FALSE,NA
C12,NA,C,12,FALSE,NA
D01,NA,D,1,FALSE,NA
D02,NA,D,2,FALSE,NA
D03,NA,D,3,FALSE,NA
D04,NA,D,4,FALSE,NA
D05,NA,D,5,FALSE,NA
D06,NA,D,6,FALSE,NA
D07,NA,D,7,FALSE,NA
D08,NA,D,8,FALSE,NA
D09,NA,D,9,FALSE,NA
D10,NA,D,10,FALSE,NA
D11,NA,D,11,FALSE,NA
D12,NA,D,12,FALSE,NA
E01,NA,E,1,FALSE,NA
E02,NA,E,2,FALSE,NA
E03,NA,E,3,FALSE,NA
E04,NA,E,4,FALSE,NA
E05,NA,E,5,FALSE,NA
E06,NA,E,6,FALSE,NA
E07,NA,E,7,FALSE,NA
E08,NA,E,8,FALSE,NA
E09,NA,E,9,FALSE,NA
E10,NA,E,10,FALSE,NA
E11,NA,E,11,FALSE,NA
E12,NA,E,12,FALSE,NA
F01,NA,F,1,FALSE,NA
F02,NA,F,2,FALSE,NA
F03,NA,F,3,FALSE,NA
F04,NA,F,4,FALSE,NA
F05,NA,F,5,FALSE,NA
F06,NA,F,6,FALSE,NA
F07,NA,F,7,FALSE,NA
F08,NA,F,8,FALSE,NA
F09,NA,F,9,FALSE,NA
F10,NA,F,10,FALSE,NA
F11,NA,F,11,FALSE,NA
F12,NA,F,12,FALSE,NA
G01,NA,G,1,FALSE,NA
G02,NA,G,2,FALSE,NA
G03,NA,G,3,FALSE,NA
G04,NA,G,4,FALSE,NA
G05,NA,G,5,FALSE,NA
G06,NA,G,6,FALSE,NA
G07,NA,G,7,FALSE,NA
G08,NA,G,8,FALSE,NA
G09,NA,G,9,FALSE,NA
G10,NA,G,10,FALSE,NA
G11,NA,G,11,FALSE,NA
G12,NA,G,12,FALSE,NA
H01,NA,H,1,FALSE,NA
H02,NA,H,2,FALSE,NA
H03,NA,H,3,FALSE,NA
H04,NA,H,4,FALSE,NA
H05,NA,H,5,FALSE,NA
H06,NA,H,6,FALSE,NA
H07,NA,H,7,FALSE,NA
H08,NA,H,8,FALSE,NA
H09,NA,H,9,FALSE,NA
H10,NA,H,10,FALSE,NA
H11,NA,H,11,FALSE,NA
H12,NA,H,12,FALSE,NA
